>>npi<< Who?	को?
>>npi<< Take one of these.	यी मध्ये एक लिनुहोस्।
>>npi<< Tell me about Tom.	मलाई टमको बारेमा बताउनुहोस्।
>>npi<< Tell them to stop.	तिनीहरूलाई रोक्न भन्नुहोस्।
>>npi<< Thank you so much.	धेरै धेरै धन्यवाद।
>>npi<< That's a big deal.	त्यो ठूलो कुरा हो।
>>npi<< The bus just left.	बस भर्खरै छुट्यो।
>>npi<< This hat is yours.	यो टोपी तिम्रो हो।
>>npi<< This is my choice.	यो मेरो रोजाई हो।
>>npi<< Tom became cranky.	टम पागल भयो।
>>npi<< Tom bought a coat.	टमले कोट किने।
>>npi<< Tom bought a coat.	टमले कोट किन्यो।
>>npi<< Tom can't come in.	टम भित्र आउन सक्दैन।
>>npi<< Tom disliked Mary.	टम मेरीलाई घृणा गर्थ्यो।
>>npi<< Tom disliked Mary.	टम मेरीलाई मन परौउँदैन थियो।
>>npi<< Tom isn't certain.	टम निश्चित छैन।
>>npi<< Tom lit the stove.	टमले चुलो बाल्यो।
>>npi<< Tom lit the stove.	टमले चुलोमा आगो बाल्यो।
>>npi<< Tom scored a goal.	टमले गोल गरे !
>>npi<< Tom used to smoke.	टम धुम्रपान गर्थे।
>>npi<< Tom was in heaven.	टम स्वर्गमा थियो।
>>npi<< Tom was very cold.	टम धेरै चिसो थियो।
>>npi<< Two beers, please.	कृपया, दुईवटा बियर।
>>npi<< We are classmates.	हामी सहपाठी हौं।
>>npi<< We waited outside.	हामी बाहिर पर्ख्यौं।
>>npi<< Were you truthful?	के तपाई सत्यवादी हुनुहुन्थ्यो?
>>npi<< What is your name?	तिम्रो नाम के हो?
>>npi<< When was she born?	उनी कहिले जन्मिइन् ?
>>npi<< Where was he born?	उ कहाँ जन्मेको थियो?
>>npi<< Who is Tom anyway?	जे भए पनि टम को हो?
>>npi<< Who is Tom really?	टम साँच्चै को हो?
>>npi<< Who is Tom to you?	तपाईको लागि टम को हो?
>>npi<< Who's at the door?	ढोकामा को छ?
>>npi<< You have no proof.	तपाईंसँग कुनै प्रमाण छैन।
>>npi<< You have no proof.	तिमिसँग कुनै प्रमाण छैन।
>>npi<< You look very sad.	तिमी धेरै दुःखी देखिन्छौ।
>>npi<< You look very sad.	तिमी धेरै उदास देखिन्छौ।
>>npi<< You need to sleep.	तपाईंले सुत्नु पर्छ।
>>npi<< A lot of fish died.	धेरै माछा मरे।
>>npi<< Are you colleagues?	के तपाई सहकर्मी हुनुहुन्छ?
>>npi<< Bananas are yellow.	केरा पहेंलो हुन्छ।
>>npi<< Can we do it again?	के हामी यसलाई फेरि गर्न सक्छौं?
>>npi<< Happy Father's Day!	बुबाको दिनको शुभकामना!
>>npi<< Happy Father's Day!	बुवा दिवसको शुभकामना।
>>npi<< He enjoyed cycling.	उसलाई साइकल चलाउन रमाइलो लग्यो।
>>npi<< He is always right.	उहाँ सधैं सही हुनुहुन्छ।
>>npi<< He is always right.	ऊ सधैं सही छ।
>>npi<< Hi, how's it going?	नमस्ते, कस्तो भइरहेको छ?
>>npi<< How is your sister?	तिम्री बहिनीलाई कस्तो छ?
>>npi<< How smart are they?	तिनीहरू कत्तिको बाठा छन्?
>>npi<< I climbed Mt. Fuji.	मैले माउन्ट फुजी चढेँ।
>>npi<< I dance quite well.	म एकदम राम्रो नृत्य गर्छु।
>>npi<< I decided the same.	मैले पनि त्यही निर्णय गरें ।
>>npi<< I don't believe it!	मलाई यस्तो कुराको विश्वास लाग्दैन।
>>npi<< I don't believe it.	मलाई यस्तो कुराको विश्वास लाग्दैन।
>>npi<< I drive everywhere.	जताततै गाडी चलाउँछु।
>>npi<< I had a bad moment.	म सँग नराम्रो क्षण थियो।
>>npi<< I like disco music.	मलाई डिस्को संगीत मन पर्छ।
>>npi<< I like this guitar.	मलाई यो गिटार मनपर्छ।
>>npi<< I like this guitar.	मलाई यो गितार मनपर्छ।
>>npi<< I love Korean food.	मलाई कोरियन खाना मन पर्छ।
>>npi<< I love Korean food.	कोरियन खाना मन पर्छ।
>>npi<< I love Korean food.	कोरियाको खाना मन पर्छ।
>>npi<< I love Korean food.	कोरियाको खानेकुरा मन पर्छ।
>>npi<< I need to exercise.	मलाई व्यायाम गर्न आवश्यक छ।
>>npi<< I teach Tom French.	म टमलाई फ्रेन्च सिकाउँछु।
>>npi<< I think he is sick.	मलाई लाग्छ उहाँ बिरामी हुनुहुन्छ।
>>npi<< I think he is sick.	मलाई लाग्छ ऊ बिरामी छ।
>>npi<< I think he's happy.	मलाई लाग्छ ऊ खुसी छ।
>>npi<< I told Tom to wait.	मैले टमलाई पर्खन भनें।
>>npi<< I went sightseeing.	म घुम्न गएँ ।
>>npi<< I went windsurfing.	म हावा खान गएँ।
>>npi<< I'm glad it's over.	यो सकिएकोमा म खुसी छु।
>>npi<< I'm not courageous.	म साहसी छुइन।
>>npi<< Is this a sentence?	के यो वाक्य हो?
>>npi<< Is this room Tom's?	के यो टमको कोठा हो?
>>npi<< Is this seat taken?	के यो सिटमा मान्छे हुनुहुन्छ?
>>npi<< Is this your house?	यो तपाईको घर हो?
>>npi<< Is this your house?	यो तिम्रो घर हो?
>>npi<< Is this your house?	यो तेरो घर हो?
>>npi<< Is this your house?	यो हजुरको घर हो?
>>npi<< Keep away from Tom.	टमबाट टाढा रहनुहोस्।
>>npi<< Let me rephrase it.	मलाई यसलाई दोहोर्याउन दिनुहोस्।
>>npi<< Mt. Fuji is famous.	माउन्ट फुजी प्रसिद्ध छ।
>>npi<< My mailbox is full.	मेरो मेलबक्स भरिएको छ।
>>npi<< Please call me Tom.	कृपया मलाई टम भन्नुहोस्।
>>npi<< Please don't worry.	कृपया चिन्ता नगर्नुहोस्।
>>npi<< Please don't worry.	चिन्ता नलिनुहोस्।
>>npi<< Please repair this.	कृपया यसलाई ठीक गर्नुहोस्।
>>npi<< Please repeat that.	कृपया यसलाई दोहोर्याउनुहोस्।
>>npi<< She is unconscious.	उनी बेहोस छिन् ।
>>npi<< She is unconscious.	उनी अचेत छिन् ।
>>npi<< She threatened him.	उनले उसलाई धम्की दिइन्।
>>npi<< She was born lucky.	उनी भाग्यमानी जन्मिएकी थिइन् ।
>>npi<< Take off your mask.	मास्क फुकाल्नुहोस्।
>>npi<< That's my umbrella.	यो मेरो छाता हो।
>>npi<< The cat drank milk.	बिरालोले दूध खायो।
>>npi<< The house is empty.	घर खाली छ ।
>>npi<< The lamp is broken.	बत्ती बिग्रिएको छ।
>>npi<< They can't get out.	तिनीहरू बाहिर निस्कन सक्दैनन्।
>>npi<< This apple is sour.	यो स्याउ अमिलो छ।
>>npi<< This is a bus stop.	यो बस स्टप हो।
>>npi<< This is a bus stop.	यो बस बिसौनी हो।
>>npi<< This should be fun.	यो रमाइलो हुनुपर्छ।
>>npi<< Tom ate my dessert.	टमले मेरो मिठाई खाइदियो।
>>npi<< Tom became violent.	टम हिंस्रक भयो।
>>npi<< Tom gave me advice.	टमले मलाई सल्लाह दिए।
>>npi<< Tom is a dog lover.	टम एक कुकुर प्रेमी हो।
>>npi<< Tom is a zoologist.	टम एक प्राणीशास्त्री हो।
>>npi<< Tom is working now.	टम अहिले काम गर्दैछ।
>>npi<< Tom left with Mary.	टम मेरीसँग गए।
>>npi<< Tom might be bored.	टम बोर भएको हुन सक्छ।
>>npi<< Tom probably knows.	सायद टमलाई थाहा छ।
>>npi<< Tom probably knows.	सायद टम जान्दछ।
>>npi<< Tom writes scripts.	टमले स्क्रिप्टहरू लेख्छन्।
>>npi<< Tom, are you there?	टम, तिमी त्यहाँ छौ?
>>npi<< We closed our eyes.	हामीले आँखा बन्द गर्यौं ।
>>npi<< What a funny story!	कस्तो रोचक कथा है !
>>npi<< What do they think?	तिनीहरू के सोच्छन्?
>>npi<< What is this thing?	यो के चिज हो?
>>npi<< What's Tom cooking?	टमले के पकाउँदै छ?
>>npi<< When were you born?	तपाई कहिले जन्मिनुभयो ?
>>npi<< Where was Tom born?	टम कहाँ जन्मिएको थियो?
>>npi<< Where's Tom anyway?	जे भए पनि टम कहाँ छ?
>>npi<< Where's the toilet?	शौचालय कहाँ छ?
>>npi<< Who are you anyway?	जे भए पनि तपाई को हुनुहुन्छ?
>>npi<< Who are you anyway?	जे भए पनि तिमी को हौ?
>>npi<< Who exactly is Tom?	ठ्याक्कै टम को हो?
