>>cbk<< Who?	¿Quién?
>>cbk<< Close your eyes and count to ten.	Cerrá de tuyo ojos y contá hasta diez.
>>cbk<< Comb your hair before you go out.	Peiná de tuyo pelo antes tu salé.
>>cbk<< Did Tom teach you how to do that?	Ya ensiñá contigo si Tom pakichura hacé ese?
>>cbk<< Did you see what Tom did to Mary?	Ya puedé tu mirá cosa ya hacé si Tom cun Mary?
>>cbk<< Didn't you hear your name called?	Nuay tu oí ya llamá de tuyo nombre?
>>cbk<< Do you know what Tom was wearing?	Sabe tu cosa camisa si Tom ta usá?
>>cbk<< Do you know what color she likes?	Sabe tu cosa color le quiere?
>>cbk<< Do you know where Tom was hiding?	Sabe tu donde ta escondé si Tom?
>>cbk<< Do you know who those people are?	Sabe tu quien esos maga gente?
>>cbk<< Do you know why Tom was arrested?	Sabe tu por qué silá ya arrestá cun Tom?
>>cbk<< Do you want me to comb your hair?	Quiere tu peiná yo de tuyo pelo?
>>cbk<< Don't forget to brush your teeth.	Numá olvidá cepillá tuyo diente.
>>cbk<< Don't you want to try doing that?	No quiere tu probá hacé cunaquel?
>>cbk<< He is a student at a high school.	Un estudiante ele na secundaria.
>>cbk<< He is not a doctor but a teacher.	Hindé le doctor, sino maestro.
>>cbk<< He ran away as soon as he saw me.	Ya corré le apenas ya mirá cumigo.
>>cbk<< He wants to get a new dictionary.	Quiere le comprá nuevo diccionario.
>>cbk<< I don't want to embarrass myself.	No quiere yo man huyá.
>>cbk<< I got home and took my shoes off.	Ya llegá yo na casa y ya quitá yo mio sapatos.
>>cbk<< I pricked my thumb with a needle.	Yan túhug aguja na de mío dedo grande.
>>cbk<< I remember the first time we met.	Ta acordá yo el primer vez na yan mirahan kitá.
>>cbk<< I think that Tom knows something.	Ta pensá yo tiene cosa sabe si Tom.
>>cbk<< I want to buy a cheap dictionary.	Quiere yo comprá dictionary barato.
>>cbk<< She picked flowers in the garden.	Ya sacá ele flores na jardin.
>>cbk<< She still hasn't heard this news.	No hay pa le oí cuneste notícia.
>>cbk<< So what do we do if Tom shows up?	So cosa kitá hacé si abuyá si Tom.
>>cbk<< The little girl just kept crying.	Ya llorá que llorá el batita.
>>cbk<< The teacher collected the papers.	Ya colectá el maestra cunel maga papel.
>>cbk<< There's a big fly on the ceiling.	Tiene un mosca grande na quísame.
>>cbk<< There's a dictionary on the desk.	Tiene un diccionario na escritorio.
>>cbk<< There's a dictionary on the desk.	Tiene un diccionario na recepción.
>>cbk<< There's a dictionary on the desk.	Tiene un diccionario na mesa de trabajo.
>>cbk<< There's a war going on right now.	Tiene guerra ta sucedé este maga tiempo.
>>cbk<< This afternoon I feel very tired.	Este tarde ta sintí yo bien cansáo.
>>cbk<< Tom didn't have to come so early.	Hindé si Tom necesita vené aqui bien temprano.
>>cbk<< Tom didn't know what to do first.	Nusabe si Tom cosa una hacé.
>>cbk<< Tom doesn't think it's his fault.	Hindé ta cré si Tom que de suyo se culpa.
>>cbk<< Tom is the bravest person I know.	Si Tom el pinaka-valiente gente na conoce yo.
>>cbk<< Tom reminded me to buy some milk.	Ya hacé cumigo acordá si Tom na comprá leche.
>>cbk<< Uncle Tom is my mother's brother.	Hermano de mío nana si Tío Tom.
>>cbk<< Wait until your father gets home.	Espera tu hasta llega de tuyu tata.
>>cbk<< What are you going to do tonight?	Cosa tu hacé luego de noche?
>>cbk<< When will this be returned to me?	Cuando tu devolvé esté cumigo?
>>cbk<< Where in Austria did you grow up?	¿Dónde na Austria que tú ya engrandá?
>>cbk<< Where in Austria did you grow up?	¿Dónde na Austria que usted ya engrandá?
>>cbk<< Where in Austria did you grow up?	¿Dónde na Austria que vos ya engrandá?
>>cbk<< Where in Austria did you grow up?	¿Dónde na Austria que evos ya engrandá?
>>cbk<< Who else knows about your secret?	Quien otro sabe de tuyo sicreto?
>>cbk<< Why doesn't Tom like to eat fish?	Por que no quiere si Tom comé pescáo?
>>cbk<< Would you please open the window?	Puede tu abrí cunel ventana, favor?
>>cbk<< You need to be stricter with Tom.	Necesita tu quedá mas estricto cun Tom.
>>cbk<< You're lucky you didn't get shot.	Suerte tu na nuáy cuntigo tupá bala.
>>cbk<< At first, they didn't believe him.	Una una, hindé silá ta cré cunele.
>>cbk<< Do you know when Tom will be back?	Sabe tu cuando ay virá si Tom?
>>cbk<< Do you know when they will arrive?	Sabe tu cuando silá ay llegá?
>>cbk<< Do you know who broke this window?	Sabe tu quien ya hacé quebrá cuneste ventana?
>>cbk<< Do you know why Tom was in prison?	Sabe tu por qué tallá na preso si Tom?
>>cbk<< Do you know why she couldn't come?	Sabe tu por qué le nuay puedé vené?
>>cbk<< He doesn't know that I have a cat.	Nusabe le kay tiene yo un gato.
>>cbk<< He is unsatisfied with the result.	Hindé le satisfechao cunel resulta.
>>cbk<< Hurry up or you'll miss the train.	Apurá si no hindê tu puedé montá tren.
>>cbk<< I cleared the table of the dishes.	Ya acabá yo quitá cunel maga plato na mesa.
>>cbk<< I forgot you're Tom's best friend.	Ya olvidá yo na best friend tu de Tom.
>>cbk<< I have two daughters and two sons.	Tiene yo dos hijo y dos hija.
>>cbk<< I have two daughters and two sons.	Tiene yo dos anák mujer y dos anák hombre.
>>cbk<< I intend to stay there for a week.	Ta planeá yo quedá allá por un semana.
>>cbk<< I should wait until Tom gets here.	Necesita yo esperá hasta llegá aquí si Tom.
>>cbk<< I still have some pain in my knee.	Ta duelé pa de mío rodilla un poco.
>>cbk<< I want to learn Chinese next year.	Quiere yo aprendé el lenguaje chino na venedero año.
>>cbk<< I'm glad we don't have to do that.	Alegre yo na hindê kitá necesita hacé cun aquel.
>>cbk<< I'm glad we don't have to do that.	Alegre yo na hindê kamé necesita hacé cun aquel.
>>cbk<< I'm married and I have a daughter.	Casáo yo y tiene un hija.
>>cbk<< I'm not going to let Tom hurt you.	Ay hindé yo permití cun Tom hacé sintí duele cuntigo.
>>cbk<< I'm sorry that I can't come today.	Paciencia, pero no puede yo andá este dia.
>>cbk<< My wife and children depend on me.	Ta dependé cumigo el mío esposa patí magá anák.
>>cbk<< She hung the calendar on the wall.	Ya hacé le bítay cunel calendario na pader.
>>cbk<< She hung the calendar on the wall.	Ya hacé le bítay cunel calendario na dindín.
>>cbk<< She sews with a needle and thread.	Ta cusí le cun hilo patí aguja.
>>cbk<< She studied Japanese after dinner.	Ya estudiá le japonés después el cena.
>>cbk<< Someone put something in my drink.	Tiene quien ya pone cosa na de mio bebida.
>>cbk<< Tell Tom what Mary said she wants.	Hablá cun Tom cosa ya hablá si Mary na quiere le.
>>cbk<< The mountain is covered with snow.	Tapao de nieve el monte.
>>cbk<< The mountain is covered with snow.	Tapao de snow el monte.
>>cbk<< There's a cat sleeping over there.	Tiene gato ta durmí allá.
>>cbk<< They don't know that I'm Japanese.	Nusabe silá que Japón yo.
>>cbk<< Tom asked Mary why she was crying.	Ya preguntá si Tom cun Mary por que ele ta llorá.
>>cbk<< Tom doesn't want to go to Harvard.	No quiere si Tom andá na Harvard.
>>cbk<< Tom has a lot of Canadian friends.	Manada si Tom amigo de Canada.
>>cbk<< Tom is going to Boston next month.	Ay andá si Tom na Boston el venedero mes.
>>cbk<< Tom knew who Mary's boyfriend was.	Sabe si Tom quien el novio de Mary.
>>cbk<< Tom poured hot water into the cup.	Ya vaciá si Tom agua caliente na tasa.
>>cbk<< Tom told me he likes Chinese food.	Ya habla si Tom comigo na quiere quiere le comida chino.
>>cbk<< Tom was a witness to the accident.	Testigo si Tom del accidente.
>>cbk<< What did you do with my suitcases?	Cosa tu ya hacé na de mio maga maleta?
>>cbk<< Who's the lady Tom is speaking to?	Quien el mujer cun quien tan-cuento si Tom?
>>cbk<< You are too young to travel alone.	Bien joven pa tu para man viaje solo solo.
>>cbk<< You can't always do what you want.	Hindé tu pirmi puede asé cosa tu quiere.
>>cbk<< You forgot to comb your hair, Tom.	Tom, ya olvidá tu peiná de tuyo pelo.
>>cbk<< You forgot to comb your hair, Tom.	Tom, ya olvidá ka peiná dikaw pelo.
>>cbk<< You have no obligation to help us.	Nuay tu obligación ayudá kanamon.
>>cbk<< You know Tom is telling the truth.	Sabe tu que verdad el cosa ta hablá si Tom.
>>cbk<< You may not smoke in the elevator.	No puede tu fumá adentro del elevator.
>>cbk<< You're the only one who bought it.	Tu lang el quien ya comprá ansina.
>>cbk<< Ask him when the next plane leaves.	Preguntá cunele cuando volá el siguiente eroplano.
>>cbk<< Can I borrow your pencil for a bit?	Puede yo prestá de tuyu lapis unrato?
>>cbk<< Do you and Tom always eat together?	Junto pirmi ba tu patí si Tom ta comé.
>>cbk<< Do you know if he has a girlfriend?	Sabe tu si tiene ele novia?
>>cbk<< Do you know what Tom did yesterday?	Sabe tu cosa ya hacé si Tom ayer?
>>cbk<< Do you know what the difference is?	Sabe tu cosa el diferencia?
>>cbk<< Do you know when Tom's birthday is?	Sabe tu cuando el cumpleaños de Tom?
>>cbk<< Do you know when they will be back?	Sabe tu cuando silá ay virá?
>>cbk<< Do you know where your father went?	Sabe tu donde ya andá de tuyo tata?
>>cbk<< Do you know who Tom is hiding from?	Sabe tu cun quien si Tom ta escondé?
>>cbk<< Do you know who stole Tom's laptop?	Sabe tu quien ya robá cunel laptop de Tom?
>>cbk<< Do you know why Tom went to Boston?	Sabe tu por qué si Tom ya andá na Boston?
>>cbk<< Do you know why cacti have needles?	Sabe tu por qué matunuk el maga cactus?
>>cbk<< Don't be afraid to raise your hand.	No tiene miedo alzá de tuyu mano.
>>cbk<< He is sometimes absent from school.	Tiene vez absent le na escuela.
>>cbk<< He made up his mind to be a doctor.	Ya decidí ele quedá un doctor.
>>cbk<< He took a photograph of the family.	Ya retratá le cunel familia.
>>cbk<< How many weeks ago did you do that?	Cuanto semanas ya ya pasá cuando ya hacé tu cunaquel?
>>cbk<< I am married and have two children.	Casáo ya yo y tiene yo dos anák.
>>cbk<< I am not rich, nor do I wish to be.	Hindé yo rico, hindé también yo quiere quedá.
>>cbk<< I brought some of my books to read.	Ya llevá yo algunos libros de mío para lé.
>>cbk<< I don't feed my dog in the morning.	Hindé yo ta dale comé de mio perro si ága.
>>cbk<< I don't know who wrote this letter.	Nusabe yo quien ya escribí cuneste carta.
>>cbk<< I need some sugar. Do you have any?	Necesita yo un poco de asucar. Tiene tu?
>>cbk<< I thanked him for the nice present.	Ya rindí yo gracias cunele por el bunito regalo.
>>cbk<< I've finished watering the flowers.	Ya acabá ya yo regá cunel mga flores.
>>cbk<< If he doesn't come, what'll you do?	Si hinde ele llega, cosa tu ay hace?
>>cbk<< It is difficult to give up smoking.	Difícil pará de fumá.
>>cbk<< It is going to rain this afternoon.	Ay cae ulán ahora tarde.
>>cbk<< It is going to rain this afternoon.	Ay cae ulán este tarde.
>>cbk<< Let's wait here till he comes back.	Esperá kitá aquí hasta volvé le.
>>cbk<< Many people were killed in the war.	Mucho gente ya murí na guerra.
>>cbk<< My grandfather never dyed his hair.	Nunca ya tiñí pelo el mio abuelo.
>>cbk<< My grandmother can't see very well.	No puede mirá enbuenamente de mío abuela.
>>cbk<< My mother gave me a pearl necklace.	Ya dale cumigo un cadenita de perlas de mío nana.
>>cbk<< Plants take in water from the soil.	Ta sacá el maga siembra agua na tierra.
>>cbk<< Please put your coat in the closet.	Por favor pone tu americana na aparador.
>>cbk<< She accused me of making a mistake.	Ya acusá le cumigo na yan kamalí dao yo.
>>cbk<< The Queen's crown was made of gold.	De oro el corona del reina.
>>cbk<< The mountain has a beautiful shape.	Bonito el forma del monte.
>>cbk<< The police are checking their bags.	Ta chequeá el pulís diila maga bag.
>>cbk<< The policeman drove the crowd away.	Ya acabá mandá salé el pulís cunel maga mirón.
>>cbk<< Tom can see things that Mary can't.	Ta puede mirá si Tom maga cosa na si Mary hindê.
>>cbk<< Tom doesn't know I want to do that.	No sabe si Tom na quiere yo hacé cunaquel.
>>cbk<< We'll start whenever you are ready.	Comenzá kitá si preparáo ya tu.
>>cbk<< We'll start whenever you are ready.	Principiá kitá si preparáo ya tu.
>>cbk<< When I got home, I was very hungry.	Bien con hambre yo cuando ya llegá yo na casa.
>>cbk<< When did you begin studying French?	De cuando tu ya principiá aprendé francés?
>>cbk<< When he saw me, he started running.	Cuando ya mirá le cumigo, ya principiá le corré.
>>cbk<< When he saw me, he started running.	Cuando ya mirá le cumigo, ya pegá le el corrida.
>>cbk<< Who asked you to come to Australia?	Quien ya mandá cuntigo vené na Australia?
>>cbk<< You know you don't have to do this.	Sabe tu na hindé tu necesita hacé cunesté.
>>cbk<< Your parents didn't come, did they?	Nuay llegá de tuyo tata y nana, no?
>>cbk<< Do you know who lives in that house?	Sabe tu quien ta viví na ese casa?
>>cbk<< Do you know who this car belongs to?	Sabe tu de quien esté coche?
>>cbk<< Does your brother know how to drive?	Sabe manejá de tuyo hermano?
>>cbk<< Don't copy other students' homework.	Numa copiá assignment de otro maga estudiante.
>>cbk<< Few students use pencils these days.	Este maga tiempo poco estudiante ya lang ta usá lápiz.
>>cbk<< He put the key on the desk as usual.	Como de antes, ya dejá le cunel llave na mesa.
>>cbk<< I attended three meetings yesterday.	Ya atendé yo tres meeting ayer.
>>cbk<< I can feel pain in both of my knees.	Ta puede yo sintí dolor na ambos rodillas.
>>cbk<< I didn't know that you played chess.	Nusabe yo na ta jugá galê tu chess.
>>cbk<< I didn't know that you played chess.	Nusabe yo que ta jugá galê tu chess.
>>cbk<< I don't want to talk about my child.	No quiere yo man cuento sobre de mio hijo.
>>cbk<< I suspect that Tom is in Boston now.	Ta suspechá yo na na Boston si Tom ahora.
>>cbk<< I thought that I heard Tom coughing.	Pensaba yo ya oí yo cun Tom ta tosé.
>>cbk<< I won't be going with you to Boston.	Ay hindé yo siguí cuntigo para na Boston.
>>cbk<< I would rather have tea than coffee.	Chá ya lang yo tomá contra café.
>>cbk<< I'm sorry I can't go with you today.	Pasensya ya no puedo yo siguí cuntigo este día.
>>cbk<< Is this the key you are looking for?	Este el llave que ta buscá tu?
>>cbk<< It's only three days till Christmas.	Tres dias ya lang Pascua ya.
>>cbk<< Many cities were destroyed by bombs.	Manada ciudad ya quedá destrosáo por causa del magá bomba.
>>cbk<< The table Tom and I moved was heavy.	Pesáo el mesa na ya mové kame di Tom.
>>cbk<< There is a dragonfly on the ceiling.	Tiene un apán na quísame.
>>cbk<< Tom came even though it was raining.	Ya vené si Tom masquín ulan-ulan.
>>cbk<< Tom doesn't know what's in this box.	Nusabe si Tom cosa taquí adentro del cajón.
>>cbk<< Tom doesn't need to go to the store.	Hindé necesita andá na tienda si Tom.
>>cbk<< Tom needs to finish what he started.	Necesita si Tom hacé acabá cosa le ya principiá.
>>cbk<< Tom said he doesn't like this color.	Ya hablá si Tom no quiere le cuneste color.
>>cbk<< Tom showed me how to make spaghetti.	Ya enseñá cumigo si Tom pakimodo cucí spaghetti.
>>cbk<< Tom wasn't home last Monday evening.	Nuay si Tom na casa del lunes de noche.
>>cbk<< Tom will have to leave the building.	Ay necesita si Tom salé na edificio.
>>cbk<< We talked to each other for a while.	Yan cuento kamé un rato.
>>cbk<< We want to learn some Spanish songs.	Quiere kamé aprendé cuantos maga canción español.
>>cbk<< What kind of dessert would you like?	Cosa dessert tu quiere?
>>cbk<< What time do you usually leave home?	¿Cósa hora usted usualmente ta salé na casa?
>>cbk<< What time do you usually leave home?	¿Qué hora usted usualmente ta salé na casa?
>>cbk<< What time do you usually leave home?	¿Qué hora tú usualmente ta salé na casa?
>>cbk<< What time do you usually leave home?	¿Qué hora vos usualmente ta salé na casa?
>>cbk<< What time do you usually leave home?	¿Cósa hora tú usualmente ta salé na casa?
>>cbk<< What time do you usually leave home?	¿Cósa hora vos usualmente ta salé na casa?
>>cbk<< When I grow up, I want to be a king.	Quiere yo quedá un rey si grande ya yo.
>>cbk<< You may do that anytime you want to.	Puede tu hacé cunaquel masquín cuando tu quiere.
>>cbk<< Can you tell me what happened to Tom?	Puede tu hablá cumigo cosa ya pasá cun Tom?
>>cbk<< Can you tell me what happened to Tom?	Puede tu hablá cumigo cosa ya sucedé cun Tom?
>>cbk<< Do you know who bought your painting?	Sabe tu quien ya cumprá de tuyo painting?
>>cbk<< Do you really want to live in Boston?	Quiere ba gayót tu quedá na Boston?
>>cbk<< He is content with his present state.	Contento le cosa le ahora.
>>cbk<< I asked Tom to sing my favorite song.	Ya mandá yo cun Tom cantá de mío favorito canción.
>>cbk<< I don't remember where I left my car.	Hindé yo ta acordá donde yo ya dejá de mío coche.
>>cbk<< I have no more time to talk with you.	Nuay más ya yo tiempo para man cuento cuntigo.
>>cbk<< I hear that you kissed my girlfriend.	Ya oi yo na ya besa daw tu de mio novia.
>>cbk<< I want to let Tom know we'll be late.	Quiere yo mandá sabé cun Tom na atrasáo kamé llegá.
>>cbk<< I want to let Tom know we'll be late.	Quiere yo mandá sabé cun Tom na man-late kamé.
>>cbk<< Is there anybody who can drive a car?	Tiene ba aqui quien sabe maneja coche?
>>cbk<< It's only three days until Christmas.	Tres dias ya lang Pascua ya.
>>cbk<< My aunt grows tomatoes in her garden.	Ta siembrá mga tomates el de mio tia na su jardín.
>>cbk<< My father will be back in a few days.	Virá de mio tata después de cuantos dias.
>>cbk<< Please bring your own fork and spoon.	Favor llevá de tuyo propio cuchara y tenedor.
>>cbk<< Please close the door when you leave.	Si salé tu, favor cerrá cunel puerta.
>>cbk<< She was in a hurry to see her father.	Apuráo le para mirá de suyo tata.
>>cbk<< The ceiling is very low in this room.	Bien bajo el quísame de este cuarto.
>>cbk<< There's nothing more I can teach you.	Nuáy ya yo cosa mas pará enseñá cuntigo.
>>cbk<< There's so much I want to say to you.	Bien manada gayot yo cosa quiere ablá cuntigo.
>>cbk<< They were surprised to hear the news.	Surpresáo silá cuando ya oí silá el noticia.
>>cbk<< This cheese is made from goat's milk.	Este queso ya salé na leche del cabrito.
>>cbk<< Tom admitted that he doesn't do that.	Ya admití si Tom na hindê le ta hacé cunaquel.
>>cbk<< Tom came home pretty late last night.	Bien de noche ya si Tom ya volvé anoche.
>>cbk<< Tom is washing his hands in the sink.	Ta lavá si Tom de suyo mano na lababo.
>>cbk<< Tom licked the honey off his fingers.	Ya lambé si Tom cunel miel na de suyo maga dedo.
>>cbk<< Tom licked the honey off his fingers.	Ya lambé si Tom cunel honey na de suyo maga dedo.
>>cbk<< Tom likes talking about his children.	Quiere quiere si Tom man-cuento acerca de suyu maga anak.
>>cbk<< Tom picked a needle up off the floor.	Ya pipiná si Tom un aguja na piso.
>>cbk<< Tom pretended not to know the answer.	Yan tampa nusabe si Tom el answer.
>>cbk<< Tom told me that he couldn't do that.	Ya hablá cumigo si Tom na no puede le hacé cunaquel.
>>cbk<< Tom will come back. I'm sure he will.	Ay virá si Tom. Sigurao yo.
>>cbk<< Tom's house was completely destroyed.	El casa de Tom ya destruí completamente.
>>cbk<< Tom's house was completely destroyed.	El casa de Tom ya destruí totalmente.
>>cbk<< Tom's house was completely destroyed.	El casa de Tom ya destruí enteramente.
>>cbk<< Tom's house was completely destroyed.	El casa de Tom ya destruí absolutamente.
>>cbk<< Tom's house was completely destroyed.	El casa de Tom ya destruí plenamente.
>>cbk<< Tom's not exactly my favorite person.	Si Tom no es exactamente mi persona favorito.
>>cbk<< Tom's not exactly my favorite person.	Si Tom jendêh exactamente mi persona favorito.
>>cbk<< When was the last time Tom came here?	Cuando si Tom ulihi ya vené aquí?
>>cbk<< Who's the person Tom is singing with?	Quien el persona cun quien ta cantá si Tom?
>>cbk<< Will you come with me to the concert?	Siguí ba tu cumigo para na concierto?
>>cbk<< You have to have a ticket and a visa.	Debe tu tiene tiket y visa.
>>cbk<< You won't believe who sat next to me.	Ay hindê tu cre quien ya sintá na mio costáo.
>>cbk<< Your daughter is not a child anymore.	Hindé ya batâ diútay de tuyo hija.
>>cbk<< "Where's your cousin?" "He just left."	"Donde ya de tuyo primo?" "Nuevo lang le ya salé."
>>cbk<< After lunch, I returned to the office.	Después comé mediodia ya virá yo na oficina.
>>cbk<< Can you tell me who I need to talk to?	Puede tu hablá cun quien yo necesita man cuento?
>>cbk<< Can you tell me why Tom is doing that?	Puede tu hablá cumigo por que ta hacé si Tom cunaquel?
>>cbk<< Do you really want to live in a hotel?	De verasan quiere tu quedá na un hotel?
>>cbk<< Everybody knew Tom was good at French.	Todo sabe na bueno si Tom na Francés.
>>cbk<< He knocked his knee against the chair.	Yan bunggû de suyo rodilla na silla.
>>cbk<< I don't know and I don't want to know.	Nusabe yo patí no quiere yo sabé.
>>cbk<< I had dinner with a friend last night.	Ya cená yo junto cun un amigo anoche.
>>cbk<< I know that Tom won't want to do that.	Sabe yo na ay no quiere se hacé si Tom.
>>cbk<< I like to comb my hair with this comb.	Quiere yo peiná de mío pelo usando este peine.
>>cbk<< I marked your birthday on my calendar.	Ya marcá yo de tuyo cumpleaños na de mío calendario.
>>cbk<< I'll try to explain everything to Tom.	Ay pricurá yo explicá todo cun Tom.
>>cbk<< I'm never going to be able to do this.	Nunca yo ay puede hacé cuneste.
>>cbk<< I'm not sure Tom is going to be there.	Hindé yo sigurao si ay andá si Tom allá.
>>cbk<< It's OK with me if you take that book.	OK lang cumigo si llevá tu cunese libro.
>>cbk<< Look at the large building over there.	Mirá tu cunese grande edificio allí.
>>cbk<< My father has decided to quit smoking.	Ya decidí de mio tata pará el fumada.
>>cbk<< Please tell me how to get to the bank.	Favor ablá cumigo pakimodo andá na banco.
>>cbk<< She had to choose her words carefully.	Necesita le escují enbuenamente su maga palabra.
>>cbk<< The soup in the pot tasted very salty.	Bien saláo el sopas na cacerola.
>>cbk<< There were a lot of murders last year.	Mucho matanza el año pasáo.
>>cbk<< Tom lay on the bed with his eyes open.	Ya acostá si Tom na cama abierto el magá ojos.
>>cbk<< Tom said he asked Mary not to do that.	Ya hablá si Tom ya mandá le cun Mary no hacé cunaquel.
>>cbk<< Tom thought you were going to do that.	Pensaba si Tom ay hacé tu cunaquel.
>>cbk<< Tom works out in a gym near his house.	Tan work out si Tom na gym cerca de suyu casa.
>>cbk<< We got involved in a traffic accident.	Ya quedá kamé envuelto na accidente vehicular.
>>cbk<< We have to paint the bathroom ceiling.	Necesita kitá pintá cunel quísame del baño.
>>cbk<< What's the longest river in Australia?	Cosa el pinaka-largo rio na Australia?
>>cbk<< Why do you need a comb if you're bald?	Por que pa tu necesita peine si calvo man tu?
>>cbk<< You mustn't depend on others for help.	Hindé tu debe dependé na ayuda del otro.
>>cbk<< You were absent from school yesterday.	Nuáy tu andá na escuela ayer.
>>cbk<< You were absent from school yesterday.	Nuáy tu allá na escuela ayer.
>>cbk<< A woman Tom didn't know approached him.	Un mujer na no conoce si Tom ya atracá cunele.
>>cbk<< Did anyone see where I left my glasses?	Tiene quien ya puede mirá donde yo ya dejá de mío antipara?
>>cbk<< Do you know when his plane is arriving?	Sabe tu cuando llegá su eroplano?
>>cbk<< Do you know why this date is important?	Sabe tu por qué importante este fecha?
>>cbk<< He bumped his head against the ceiling.	Yam bunggû de suyo cabeza na quísame.
>>cbk<< He put his hand gently on her shoulder.	Hinay hinay le ya poné de suyo mano na de suyo ombro.
>>cbk<< How about having our lunch in the park?	Si na parque kitá man-lunch.
>>cbk<< I didn't know that Tom was dating Mary.	No sabe yo kay tan date si Tom cun Mary.
>>cbk<< I think I left my umbrella in your car.	Dol ya dejá yo de mío páyung na de tuyo coche.
>>cbk<< I thought that Tom wouldn't enjoy that.	Pensaba yo hindê man-enjoy si Tom cunaquel.
>>cbk<< I'm glad that we don't have to do that.	Alegre yo na hindê kitá necesita hacé cun aquel.
>>cbk<< I'm glad that we don't have to do that.	Alegre yo na hindê kamé necesita hacé cun aquel.
>>cbk<< It would be nice if it stopped raining.	Bueno era si pará ya el ulán.
>>cbk<< My little brother asked for some money.	Ya pidí el de mío hermano diútay sen.
>>cbk<< Onions cook more quickly than potatoes.	Mas pronto cucí el cebollón contra el patatas.
>>cbk<< Onions cook more quickly than potatoes.	Mas pronto cucí el cebollón que cunel patatas.
>>cbk<< Onions cook more quickly than potatoes.	Mas paspás cucí el cebollón que cunel patatas.
>>cbk<< Raise your hand if you know the answer.	Alzá el mano si sabe tu cunel answer.
>>cbk<< The patient is feverish this afternoon.	Tiene calentura el paciente este tarde.
>>cbk<< Tom didn't want to admit he was scared.	No quiere admití si Tom na tiene le miedo.
>>cbk<< Tom doesn't want to talk about it here.	No quiere si Tom man cuento sobre aquel asunto aquí.
>>cbk<< Tom is an honest person, so I like him.	Un persona honesto si Tom por eso ta gustá yo cunele.
>>cbk<< Tom said that he's only done that once.	Ya hablá si Tom na ya hacé le cunaquel una vez lang.
>>cbk<< Tom thought Mary would die an old maid.	Pensaba si Tom na murí dalaga vieja si Mary.
>>cbk<< Tom tried to sit up, but was unable to.	Ya pricurá sintá si Tom, pero nuay le puede sintá.
>>cbk<< Tom wasn't the one who borrowed my car.	Hindê si Tom el quien ya prestá de mío coche.
>>cbk<< Tom's medication's not in the bathroom.	El maga medicamentos de Tom es no hay na baño.
>>cbk<< Tom's medication's not in the bathroom.	El medicamentos de Tom es no hay na baño.
>>cbk<< Tom's medication's not in the bathroom.	No hay na baño el medicamentos de Tom.
>>cbk<< Tom's medication's not in the bathroom.	El medicación de Tom es no hay na baño.
>>cbk<< Tom's medication's not in the bathroom.	No hay na baño el medicación de Tom.
>>cbk<< What time's the meeting going to start?	Que hora principiá el meeting?
>>cbk<< Which do you like better, meat or fish?	Cosa tu mas quiere, carne o pescáo?
>>cbk<< Do you know why I fell in love with Tom?	Sabe tu por qué yo ya queré cun Tom?
>>cbk<< Do you remember what happened last year?	Ta acordá tu cosa ya pasá el pasáo año?
>>cbk<< Do you still think Tom is a good driver?	Ta pensá pa siempre tu na buen chufer si Tom?
>>cbk<< I can't believe Tom did that by himself.	Hindê maka-cré na ya hacé aquel si Tom solo solo.
>>cbk<< I can't remember how to spell your name.	Hindê yo ta acordá pakimodo man spell de tuyu nombre.
>>cbk<< I don't have any relatives in Australia.	No hay yo pariente na Australia.
>>cbk<< I don't know the exact place I was born.	No sabe yo el exacto lugar donde yo ya nacé.
>>cbk<< I don't know what that animal is called.	Nusabe yo cosa el nombre de ese animal.
>>cbk<< I'm going shopping. Do you want to come?	Andá yo man compras. Quiere tu siguí?
>>cbk<< I'm sorry, but I'll have to go home now.	Paciencia, pero necesita ya yo volvé.
>>cbk<< Mary helped her mother with the cooking.	Ya ayudá si Mary cun de suyo nana cucí.
>>cbk<< Somebody had drowned her in the bathtub.	Tiene quien ya hacé cunele lumús na bathtub.
>>cbk<< The accident occurred yesterday morning.	Ya ocurrí el accidente ayer aga.
>>cbk<< Tom admits that he stole Mary's jewelry.	Ta admití si Tom na ya robá le alajas de Mary.
>>cbk<< Tom isn't my boyfriend. He's my brother.	Hinde mio novio si Tom. Mio hermano ele.
>>cbk<< Tom said he read a book about this ship.	Ya hablá si Tom na ya lé le libro acerca de este barco.
>>cbk<< What do you want to be when you grow up?	Cosa tu quiere quedá grande?
>>cbk<< Where do you keep your important papers?	Donde tu ta poné de tuyu importante maga papeles?
>>cbk<< Without your help, I would have drowned.	Man lumús era yo si hindé por causa de tuyo ayuda.
>>cbk<< Without your help, I would have drowned.	Man lumús era yo si nuáy tu ayudá.
>>cbk<< You aren't allowed to go into that room.	Nuay tu permiso entrá na ese cuarto.
>>cbk<< A burglar broke into the bank last night.	Un ladrón ya entrá na banco anoche.
>>cbk<< Are you sure we're doing the right thing?	Siguráo tu amó kitá cosa ta hacé?
>>cbk<< I don't care what you do with your money.	No hay yo quever cosa tu ta hacé con de tuyo sen.
>>cbk<< I gave him what little information I had.	Ya dale yo kunele el cosa poco informacion que tiene yo.
>>cbk<< I heard that it's going to rain tomorrow.	Ya oí yo na ay cae ulán mañana.
>>cbk<< I wanted Tom to know what happened to us.	Quiere yo, sabé si Tom cosa kanamon ya pasá.
