>>tuk<< Go.	Gitmek.
>>tuk<< Yes, this is a wine.	Hawa, bu şerap.
>>tuk<< You ran a red light.	Gyzyl reňkde geçdiň.
>>tuk<< You're really brave.	Sen örän batyr / mertsiň.
>>tuk<< All my stuff is here.	Hemme zatlarym şu ýerde.
>>tuk<< Aren't you alone now?	Sen häzir ýeke dälmi?
>>tuk<< Be quiet, all of you.	Hemmäñiz sessiz boluñ.
>>tuk<< Be quiet, all of you.	Hemmäňiz ýumaş boluň!
>>tuk<< Can we come tomorrow?	Biz eritir gelip bilerismi?
>>tuk<< Could you spell that?	Sen ony aýdyp bilýäñmi?
>>tuk<< Could you spell that?	Sen ony boguna bölüp aýdyp bilýäñmi?
>>tuk<< Do you have the book?	Kitap sende barmy?
>>tuk<< Do you live near Tom?	Sen Tomuň golaýynda ýaşaýarsyňmy?
>>tuk<< Do you play baseball?	Sen baseball oýnaýañmy?
>>tuk<< Don't eat without me.	Mensiz iýme.
>>tuk<< Empty your briefcase.	Portfeliň boş.
>>tuk<< Grapes grow on vines.	Uzum serap etmek ucin osdurilyar.
>>tuk<< Have a good vacation.	Gowy dynç alyñ.
>>tuk<< Have you fed the cat?	Sen pişigi naharladyñmy?
>>tuk<< He lives in the city.	Ol şäherde ýaşaýar.
>>tuk<< He married for money.	Ol pul üçin öýlendi.
>>tuk<< He wants red glasses.	Ol gyzyl reňkli äýnek isleýär.
>>tuk<< How is that relevant?	Şonuň nädip şuňa baglanyşygy bar?
>>tuk<< I can't come tonight.	Bu gije gelip bilmerin.
>>tuk<< I cooked this myself.	Men muny özüm bişirdim.
>>tuk<< I cooked this myself.	Men muny özüm taýýarladym.
>>tuk<< I could barely sleep.	Zordan uklap bildim.
>>tuk<< I forgot my suitcase.	Men çemedanymy ýatdan çykarypdyryn.
>>tuk<< I have a stomachache.	Meniň garnym agyrýar.
>>tuk<< I have a stomachache.	Meniň içagyrym bar.
>>tuk<< I have so much to do.	Meniñ etmage isim kan
>>tuk<< I heard a loud noise.	Men gaty sesi esitdim
>>tuk<< I heard a loud noise.	Men gaty gohy esitdim
>>tuk<< I hope you'll return.	Yzyňa dolanyp gelersiň diýip umyt edýärin.
>>tuk<< I just don't like it.	Men muny halamaýaryn.
>>tuk<< I know what you said.	Men seniň näme diýeniňi bilýän.
>>tuk<< I need a bigger room.	Maña ulurak otag gerek
>>tuk<< I owe Tom an apology.	Men Tomdan öťünç soraýan
>>tuk<< I saw Tom last night.	Düýn gije Tomy gördüm.
>>tuk<< I saw Tom shoot Mary.	Tomuň Maryýi atandygyny gördüm.
>>tuk<< I saw Tom's pictures.	Tomuň suratlaryny gördüm.
>>tuk<< I saw you look at it.	Oňa seredendigiňi gördüm.
>>tuk<< I was feeling guilty.	Men özümi günäkär gördüm.
>>tuk<< I was plenty nervous.	Men gaty gaharlydym
>>tuk<< I'm glad I'm not Tom.	Tom däldigime men begenýärin.
>>tuk<< I'm here on business.	Bu ýerde iş üçin baryn
>>tuk<< I'm in Australia now.	Men häzir Awstraliýada.
>>tuk<< I'm tired of singing.	Men aýdym aýdyp ýadadym
>>tuk<< I've got to stop Tom.	Men Tomy duruzmaly.
>>tuk<< Is Tom available now?	Şu wagt boşmyka?
>>tuk<< It was kind of funny.	Bu birhiljek gülkünçdi.
>>tuk<< It was my first kiss.	Bu meniň ilkinji öpüşigimdi.
>>tuk<< It's almost too late.	Diýen ýaly eýýäm giç bolupdyr
>>tuk<< It's really gorgeous.	Bu örän owadan.
>>tuk<< It's the third today.	Bu gün üçi.
>>tuk<< It's time for action.	Hereket wagty.
>>tuk<< It's too big for you.	Bu örän uly seniñ üçin.
>>tuk<< It's too late anyway.	Şonda-da eýýäm has giç boldy.
>>tuk<< Look at what we made.	Biziñ eden zadymyza seret
>>tuk<< Look at what we made.	Seret biz näme etdik
>>tuk<< Mary is Tom's mother.	Meri Tomuň ejesi.
>>tuk<< My sons are soldiers.	Meniň ogullarym esger.
>>tuk<< Please make your bed.	Haýyş ýatagyňy oňaryp goý.
>>tuk<< Show us some results.	Bize netijeleri görkez.
>>tuk<< Stop embarrassing me.	Meni utandyrmagy goý.
>>tuk<< Straighten your legs.	Aýaklaryňyzy gönüläň.
>>tuk<< Straighten your legs.	Aýaklaryňy gönüle.
>>tuk<< Tell Tom I feel fine.	Toma özimi gowy duýýandygymy aýt.
>>tuk<< Tell me you'll do it.	Maña ony edip biljekdigiñi aýt
>>tuk<< Tell me your address.	Maña adresini aýt.
>>tuk<< Tell the story again.	Hekaýany täzeden aýt.
>>tuk<< Tell them who we are.	Kimdigimizi aýt olara.
>>tuk<< Tell us what that is.	Bize munuñ nämedigini aýt.
>>tuk<< The burglar got away.	Ogry gaçyp gutuldy.
>>tuk<< The burglar got away.	Ogry gaçdy.
>>tuk<< The dog looks hungry.	Güjük aç ýaly görünýär.
>>tuk<< They are good people.	Olar oňat adamlar.
>>tuk<< Tom beat me at chess.	Tom meni küştde ýeñdi.
>>tuk<< Tom beat me at darts.	Tom meni dart zyñyşmakda ýeñdi.
>>tuk<< Tom became a teacher.	Tom mugalym boldy.
>>tuk<< Tom can take a break.	Tom arakesmä çykyp biler.
>>tuk<< Tom changed his diet.	Tom diýetasyny üýtgetdi.
>>tuk<< Tom gave me an apple.	Tom maňa bir alma berdi.
>>tuk<< Tom is a born leader.	Tom dogulandan bäri başlyk.
>>tuk<< Tom is a fast worker.	Tom çalasyn işgär.
>>tuk<< Tom is a good reader.	Tom gowy okyjy
>>tuk<< Tom is a good runner.	Tom gowy ylgawçy.
>>tuk<< Tom is six feet tall.	Tom alty metr uzyn
>>tuk<< Tom may be awake now.	Tom bekli-de şu wagt oýa.
>>tuk<< Tom should help Mary.	Tom Merä kömek etmeli.
>>tuk<< Tom wanted a divorce.	Tom aýrylyşmak isledi.
>>tuk<< Tom's hands are tied.	Tomuň elleri baglaklydyr
>>tuk<< We actually did that.	Biz aslynda muny etdik.
>>tuk<< We watch TV together.	Biz bugün telewizor gördük.
>>tuk<< We'll make you happy.	Biz seni bagtly ederis
>>tuk<< We'll make you happy.	Biz sizi bagtly ederis
>>tuk<< Where was Tom hiding?	Tom nirede bukulýardy?
>>tuk<< Where was Tom hiding?	Tom nirede gizlenipdir?
>>tuk<< Whose friend are you?	Kimiň dosty sen?
>>tuk<< Whose friend are you?	Kimiň dostysyňyz?
>>tuk<< Why do you work here?	Sen näme üçin bu ýerde işleýärsiň?
>>tuk<< Why do you work here?	Siz näme üçin bu ýerde işleýärsiňiz?
>>tuk<< Why would I kiss Tom?	Näme üçin men Tomy öpmeli?
>>tuk<< You look much better.	Örän gowy görünýärsiñ.
>>tuk<< All three of us agree.	Biziň üçimizem ylalaşýarys.
>>tuk<< Boston is my home now.	Boston indi meniñ öýüm.
>>tuk<< Come in here a minute.	Bir minutlyk şu ýere geläýiň
>>tuk<< Did you get a massage?	Siz massaž etdirdiňizmi?
>>tuk<< Did you get a massage?	Sen massaž etdirdiňmi?
>>tuk<< I can do it in a week.	Men muny bir hepdede edibilerin.
>>tuk<< I did nothing all day.	Men hiç zat etmedim.
>>tuk<< I didn't kill my wife.	Men öz aýalymy öldürmedim.
>>tuk<< I don't like politics.	Men syýasaty halamok.
>>tuk<< I forced Tom to do it.	Men Toma muny zor bilen etdirdim
>>tuk<< I get angry sometimes.	Meniň käwagtlar gaharym gelýär.
>>tuk<< I have met her before.	Eýýäm onuñ bilen tanyşdym.
>>tuk<< I have no place to go.	Meň gitmäne ýerim yok.
>>tuk<< I have the dictionary.	Mende sözlük bar.
>>tuk<< I have to go to sleep.	Men uklamaly.
>>tuk<< I hope it'll be quiet.	Bu ýuwaş bolar diýip umyt edýärin.
>>tuk<< I just bought a house.	Men öý aldym.
>>tuk<< I owe you ten dollars.	Meniň saňa on dollar borjum bar.
>>tuk<< I owe you ten dollars.	Meniň size on dollar bergidar.
>>tuk<< I see a red car ahead.	Men öñde gyzyl maşyn gördüm.
>>tuk<< I thought I'd be fine.	Men ýagşy bolaryn diýip pikir etdim.
>>tuk<< I thought I'd be fine.	Men gowy bolaryn diýip pikir etdim.
>>tuk<< I want to talk to him.	Meniň onuň bilen gürleşesim gelýär.
>>tuk<< I want to visit Korea.	Men Koreýany görmek isleýärin.
>>tuk<< I was taking pictures.	Men surata düşürip durdum.
>>tuk<< I washed my own shirt.	Men öz futbolkamy ýuwdum.
>>tuk<< I wish to be a doctor.	Lukman bolmak isleýärin.
>>tuk<< I wish to be a doctor.	Doktor bolmak isleýärin.
>>tuk<< I won't let you do it.	Men saña ony etdirmerin.
>>tuk<< I won't stop doing it!	Etmegi taşlamajakdyryn!
>>tuk<< I'll permit you to go.	Men saňa gitnäge rugsat berýärin.
>>tuk<< I'm sorry you're sick.	Ýarawsyzdygyña gaty gynanýan.
>>tuk<< I'm too tired tonight.	Men gaty ýadaw bu gije
>>tuk<< I'm your new neighbor.	Men seniň täze goňşyň
>>tuk<< I've been pretty busy.	Men mazaly başagaýdym.
>>tuk<< I've got to phone Tom.	Men Toma jaň etmeli.
>>tuk<< I've got to phone Tom.	Men Tom bilen jaňlaşmaly.
>>tuk<< In fact, he loves her.	Aslynda ol ony söýýär.
>>tuk<< Is it OK if I come in?	Girmek mümkinmi?
>>tuk<< Is it OK to trust Tom?	Toma ynansañ bolýar.
>>tuk<< It was unbearably hot.	Howa ýaramaz yssydy.
>>tuk<< It's 2:30 by my watch.	Sagadyma görä 2:30.
>>tuk<< It's your only chance.	Bu seniň ýeke-täk mümkinçiligiň.
>>tuk<< Let's stop doing that.	Muny etmegi taşlaly.
>>tuk<< Please sit over there.	Haýyş ol ýerde oturyñ.
>>tuk<< She achieved her goal.	Ol öz maksadyna ýetdi.
>>tuk<< She's a second grader.	Ol ikinji synp okuwçysy.
>>tuk<< Somebody stole my car.	Kimdir biri meniň ulagymy ogurlady.
>>tuk<< Thank you for waiting.	Garaşanyňyz üçin minnetdar.
>>tuk<< Thank you for waiting.	Garaşanyň üçin minnetdar.
>>tuk<< Thank you for waiting.	Garaşanyň üçin sag bol.
>>tuk<< Thank you for waiting.	Garaşanyňyz üçin sag boluň.
>>tuk<< That could take years.	Ol ýyllar alyp biler.
>>tuk<< That game was awesome.	Oýun ajaýypdy.
>>tuk<< That made me very sad.	Bu meni gaty gynandyrdy.
>>tuk<< That makes me anxious.	Bu meni gaharlandyrýar.
>>tuk<< That was a good guess.	Gaty gowy çaklama.
>>tuk<< That's one of my cats.	Ol meniñ pisiklerimiñ birisi.
>>tuk<< The goldfish is alive.	Altyn balyk ýaşaýar.
>>tuk<< This is Tom's bicycle.	Bu Tomuň tigri.
>>tuk<< Tom became a minister.	Tom häkim boldy.
>>tuk<< Tom became very angry.	Tom örän gaharlandy.
>>tuk<< Tom came to my rescue.	Tom maña kömege geldi.
>>tuk<< Tom can't swim at all.	Tom ýüzüp bilmeýär.
>>tuk<< Tom cried for an hour.	Tom bir sagat aglady.
>>tuk<< Tom doesn't own a car.	Tomun mashyny yok.
>>tuk<< Tom doesn't own a car.	Tom mashyn edinmedi
>>tuk<< Tom has been decisive.	Tom belleýji boldy.
>>tuk<< Tom is cooking dinner.	Tom agşamlyk bişirip otyr.
>>tuk<< Tom is cooking dinner.	Tom agşamlyk taýýarlap otyr.
>>tuk<< Tom is cooking dinner.	Tom oýlänlik taýýarlap otyr.
>>tuk<< Tom is coughing again.	Tom ýene üsgürýär.
>>tuk<< Tom is counting money.	Tom pul sanap otyr.
>>tuk<< Tom is from the South.	Tom Günortaly.
>>tuk<< Tom is from the South.	Tom Günortadan.
>>tuk<< Tom is going home now.	Tom şu wagt öýüne gidip barýar.
>>tuk<< Tom may do that later.	Tom muny soň edip biler.
>>tuk<< Tom said he was alone.	Tom ýalñyzdygyny aýtdy.
>>tuk<< Tom sold the bracelet.	Tom bilezigi satdy.
>>tuk<< Tom was jealous of me.	Tom maňa gabanjaň boldy/ göriplik etdi.
>>tuk<< Was Tom really boring?	Tom hakykatdanam iç gysgynçdymy?
>>tuk<< We could write a book.	Biz kitap ýazyp bilerdik.
>>tuk<< We work well together.	Biz bilelikde gowy işleýäris.
>>tuk<< When was it purchased?	Ol haçan satyn alyndy?
>>tuk<< You never believed me.	Sen maňa hiç ynanmadyň.
>>tuk<< You ought not do that.	Sen şony etmeli däl.
>>tuk<< You ought not do that.	Siz şony etmeli däl.
>>tuk<< You recovered quickly.	Çalt sagaldyňyz.
>>tuk<< You recovered quickly.	Çalt gowylaşdyňyz.
>>tuk<< Are these your glasses?	Bu seniň äýnegiňmi?
>>tuk<< Can we get started now?	Indi başlap bilerismi?
>>tuk<< Can't anyone else come?	Biri gelmezligi başarýarmy?
>>tuk<< Can't anyone else come?	Biri gelmän bilýärmi?
>>tuk<< Can't anyone else come?	Birem gelip bilenokmy?
>>tuk<< Can't anyone else come?	Bir adamam gelip bilenokmy?
>>tuk<< Do you feel unbeatable?	Öziñi ýeñilmeýän duýýañmy?
>>tuk<< Does she have children?	Onuň çagalary barmy?
>>tuk<< Does she speak English?	Iňlisçe gepleýärmi?
>>tuk<< Does she speak English?	Iňlisçe gürleýärmi?
>>tuk<< Don't let this get wet.	Çyglandyrmaň.
>>tuk<< Excuse us for a minute.	Bir minut rugsat beriň.
>>tuk<< He is thirty years old.	Ol otuz ýaşynda.
>>tuk<< He's a very clever boy.	Ol örän akylly oglanjyk.
>>tuk<< How long do frogs live?	Gurbagalar näçe wagt bäri ýaşaýar?
>>tuk<< How long do frogs live?	Gurbagalar näçe wagtlap ýaşap ýör?
>>tuk<< How long do frogs live?	Gurbagalar näçe wagt ýaşaýar?
>>tuk<< I bought a new printer.	Men täze printer satyn aldym.
>>tuk<< I can't come right now.	Men şu wagt gelip bilmerin.
>>tuk<< I could barely breathe.	Men zordan howa alyp bilýärin.
>>tuk<< I didn't spend a penny.	Men teññämi sowmadym
>>tuk<< I don't see your point.	Men seniň maksadyňa düşünemok.
>>tuk<< I don't see your point.	Men siziň maksadyňyza düşünemok.
>>tuk<< I have a thing for Tom.	Meniñ Toma duýgym bar.
>>tuk<< I hope Tom isn't tired.	Umyt edýärin Tom ýadan däldir.
>>tuk<< I hope Tom isn't tired.	Tom ýadaw däldir diýip umyt edýärin.
>>tuk<< I love cooking for you.	Seniñ üçin nahar taýýarlamagy gowy görýärin.
>>tuk<< I should've known that.	Men şony bilmelidim.
>>tuk<< I thought it went well.	Onuñ gowy gidýändigini oýlandym.
>>tuk<< I'll miss my teammates.	Men öz topardaşlarymy küýseýärin.
>>tuk<< I'm applying for a job.	Men işe girmek üçin arza ýazdym.
>>tuk<< I'm listening to music.	Men saz diňleýärin.
>>tuk<< I'm listening to music.	Men saz diňläp otyryn.
>>tuk<< I'm more than a friend.	Men dostdan köprägi.
>>tuk<< I'm writing a new book.	Men taze kitap yazyaryn.
>>tuk<< I've done nothing else.	Başka hiç zat etmedim.
>>tuk<< I've seen children die.	Çagalaryñ ölenini gördüm.
>>tuk<< Is any of it dangerous?	Haýsy hem bolsa biri howplymy?
>>tuk<< Is it all resolved now?	Olaryň hemmesi indi çözüldimi?
>>tuk<< Is it in working order?	Işlemek tertibindemi?
>>tuk<< Is that asking so much?	Bu köpmi soraýar?
>>tuk<< Is the pain unbearable?	Agyry ýaramazmydy?
>>tuk<< Is this a rare problem?	Bu üýtgeşik meselemidir?
>>tuk<< Is this fear justified?	Bu gorky dogrymy?
>>tuk<< Is this the right time?	Bu dogry wagtmy?
>>tuk<< It can't end like this.	Bu munuñ ýaly gutaryp bilmez.
>>tuk<< It may take many years.	Bu ýyllary alyp biler.
>>tuk<< It's no trouble at all.	Bu hiç hili mesele däl.
>>tuk<< Just follow your heart.	Diňe ýüregiňi diňle.
>>tuk<< May I borrow your bike?	Welosipediňi wagtlaýyn alyp bilerinmi?
>>tuk<< May I borrow your bike?	Welosipediňizi wagtlaýyn alyp bilerinmi?
>>tuk<< Money's a little tight.	Pul ýagdaýy biraz kynçylykly.
>>tuk<< No one knew what to do.	Hiç kim näme etmelidigini bilenokdy.
>>tuk<< Nobody came to help me.	Hiç kim maňa kömek etmäge gelmedi.
>>tuk<< Nothing more is needed.	Başga hiç zat gerek däl.
>>tuk<< Please be more patient.	Haýyş biraz sabyrly bol.
>>tuk<< She ironed her clothes.	Ol gyza eşiklerini ütükledi.
>>tuk<< She stopped teasing me.	Ol maña sataşmagyny goýdy.
>>tuk<< Shouting isn't singing.	Gygyrmak aýdym aýtmak däl
>>tuk<< Thank you for the cake.	Tort üçin sag bol
>>tuk<< Thank you for the cake.	Tort üçin sag boluň
>>tuk<< The building's on fire.	Bina ýanýar.
>>tuk<< There's someone inside.	Içinde biri bar.
>>tuk<< These pearls look real.	Bu göwherler hakyky ýaly görünýär.
>>tuk<< This is not a sentence.	Bu bir sözlem däl.
>>tuk<< This is not a sentence.	Bu sözlem däl.
>>tuk<< This soup is delicious.	Bu çorba tagamly.
>>tuk<< Those are your choices.	Bular seniň saüýlawlayň.
>>tuk<< Tom had a bad headache.	Tomuň erbet kellagyrysy bardy.
>>tuk<< Tom has a nasty temper.	Tomyň ýigrenji häsiýeti bar.
>>tuk<< Tom has questions, too.	Tomuňam soraglary bar.
>>tuk<< Tom has questions, too.	Tomuň soraglaram bar.
>>tuk<< Tom hugged his parents.	Tom öz ene-atasyny gujaklady.
>>tuk<< Tom likes Swiss cheese.	Tom Şweýsariýa peýnirini halaýar.
>>tuk<< Tom lives a quiet life.	Tom asuda durmusda yasayar.
>>tuk<< Tom looks very healthy.	Tom örän sagdyn gorünýär.
>>tuk<< Tom majored in geology.	Tom geologiýa bolümine ýazyldy.
>>tuk<< Tom might be terrified.	Tomuň ýüregi ýarylan bolsa gerek.
>>tuk<< Tom needs some therapy.	Tomyň azajyk terapeýa islegi bar.
>>tuk<< Tom told me to shut up.	Tom maňa sesiňi kes diýip aýtdy.
>>tuk<< Tom used to wear a wig.	Tom parik geýerdi.
>>tuk<< Tom was close to tears.	Tom aglajakdy.
>>tuk<< Tom went to the office.	Tom ofise gitdi.
>>tuk<< Was Tom seriously hurt?	Tom gaty ýaralandymy?
>>tuk<< We don't get much rain.	Bizde kän ýagyş ýaganok.
>>tuk<< We'll have fun with it.	Biz oñ bilen hezil ederis.
>>tuk<< We're all very excited.	Biziň hemmämiz tolgunýarys.
>>tuk<< We're husband and wife.	Biz är we aýal.
>>tuk<< We're pretty near done.	Biz işimizi bolup barýarys.
>>tuk<< We're still doing well.	Biz henizem gowy.
>>tuk<< What beautiful weather!	Nähili gowy howa!
>>tuk<< What beautiful weather!	Howa ajaýyp!
>>tuk<< What beautiful weather!	Howa örän gowy!
>>tuk<< Where's the toothpaste?	Diş pasta nirede?
>>tuk<< Why did Tom want to go?	Näme üçin Tomuň gidesi geldi?
>>tuk<< Why don't you remember?	Näme üçin ýatlamaýarsyň?
>>tuk<< Will you drive me home?	Meni öýüme eltersiňmi?
>>tuk<< You are a good student.	Sen gowy okuwçy.
>>tuk<< You did that all right.	Sen ony dogry etdiñ.
>>tuk<< You missed your chance.	Sen öz mümkinçiligiňi ýitirdiň.
>>tuk<< You must get up at six.	Sen sagat altyda turmaly.
>>tuk<< You must get up at six.	Siz sagat altyda turmaly.
>>tuk<< You need more practice.	Saña köpüräk praktika gerek
>>tuk<< You need more practice.	Size köpüräk praktika gerek
>>tuk<< Are you listening to me?	Diňleýärsinmi meni?
>>tuk<< Are you listening to me?	Diňleýärmisiň meni?
>>tuk<< Are you listening to me?	Meni diňleýärmisiňiz?
>>tuk<< Are you listening to me?	Meni diňleýärsiňizmi?
>>tuk<< Are you really Canadian?	Sen çyndanam Kanadalymy?
>>tuk<< Both teams are unbeaten.	Her iki topar hem täzedi.
>>tuk<< Can you count the stars?	Sen ýyldyzlary sanap bilýärsiňmi?
>>tuk<< Can you play chess well?	Sen küşt oýnamakda oñatmy?
>>tuk<< Can you play chess well?	Sen küşti gowy oýnap bilýäñmi?
>>tuk<< Could you come and help?	Sen gelip kömek edip bilýäñmi?
>>tuk<< Could you come and help?	Siz gelip kömek edip bilýäñizmi?
>>tuk<< Didn't you recognize me?	Sen meni tanamadyñmy?
>>tuk<< Do you love your mother?	Ejeňi gowy görýärsiňmi?
>>tuk<< Do you love your mother?	Ejeňizi gowy gorýärsiňizmi?
>>tuk<< Do you love your mother?	Ejeňi gowy görýäňmi?
>>tuk<< Don't read in this room.	Bu otagda okama.
>>tuk<< He acted like a lunatic.	Samsyk ýaly hereket etdi.
>>tuk<< He is tall and handsome.	Ol oglan uzyn boýly we gelşikli.
>>tuk<< He's always complaining.	Ol (oglan) hemişe şikaýat edip ýör.
>>tuk<< Here's my business card.	Meniñ biznes kartym bu ýerde.
>>tuk<< I can't do that tonight.	Men ony şu agşam edip biljek däl.
>>tuk<< I can't do that tonight.	Men ony şu gün agşam edibilmerin.
>>tuk<< I can't take your money.	Men siziň puluňyzy alybilmerin.
>>tuk<< I can't take your money.	Men seniň puluňy alybilmerin.
>>tuk<< I don't like this candy.	Men bu süýjini halamok.
>>tuk<< I eat oatmeal every day.	Men süle ýarmasyny günde iýýän.
>>tuk<< I gave Tom a small wave.	Men Toma elimi çalaja buladym
>>tuk<< I had to tell the truth.	Men hakykady aýtmalydym.
>>tuk<< I haven't even told Tom.	Men intäk Toma aýtmadym
>>tuk<< I heard the pay is good.	Men tölegiň gowydygyny eşitdim.
>>tuk<< I know that Tom is dead.	Men Tomuň ölendigini bilýärin.
>>tuk<< I know what Tom is like.	Men Tomuň näme halaýandygyny bilýärin.
>>tuk<< I really like you a lot.	Men seni hakykatdanam gaty gowy görýärin.
>>tuk<< I saw you spying on Tom.	Tomy gizlenip diňleýändigini gördüm.
>>tuk<< I see fear in your eyes.	Gözleriňde gorky görýärin.
>>tuk<< I think I'm a lucky guy.	Men bagtly oglan diýip pikir edýärin.
>>tuk<< I told you I'd help you.	Saňa kömek ederin diýip aýtdyma.
>>tuk<< I told you not to worry.	Men saña alada etme diýdim.
>>tuk<< I want to see you later.	Men seni soñurak göresim gelýär.
>>tuk<< I won't take your money.	Men seniñ puluñy almaryn
>>tuk<< I won't take your money.	Men siziñ puluñyzy almaryn.
>>tuk<< I'll join you all later.	Men size soñurak goşularyn.
>>tuk<< I'm not really prepared.	Hakykardan hem taýýar däl men.
>>tuk<< Is that all I am to you?	Men seniñ üçin şumy?
>>tuk<< Is that all I am to you?	Bularyñ hemmesimi men seniñ üçin?
>>tuk<< It's a Canadian company.	Bu Kanadaly kompaniýa.
>>tuk<< It's just not what I do.	Bu diňeje meniň edýän zadym däl.
>>tuk<< My answer matches yours.	Meniň jogabym seniňki bilen gabat gelýär.
>>tuk<< My front tooth fell out.	Meniñ öñümdäki dişim düşdi.
>>tuk<< My wife is a vegetarian.	Meniň aýalym wegetarian
>>tuk<< Now I understand it all.	Indi men ähli zada düşünýärin.
>>tuk<< Please close the fridge.	Haýyşt, sowadyjynyñ gapysyny ýapaýda.
>>tuk<< Please close the fridge.	Sowadyjynyñ gapysyny ýapaýda.
>>tuk<< Please close the fridge.	Sowadyjyny ýapaýda, haýýşt.
>>tuk<< Please close the fridge.	Sowadyjynyñ gapysyny ýapaýda, haýyşt.
>>tuk<< Please don't leave town.	Haýyş, şäheri taşlama.
>>tuk<< Screaming isn't singing.	Çyñkyrmak aýdym aýtmak bolmaýar
>>tuk<< She has to stop smoking.	Ol çilim çekmekligi bes etmelidir.
>>tuk<< She has to stop smoking.	Ol çilim çekmekligi taşlamalydyr.
>>tuk<< Sickness changes people.	Ýaramazlyk adamlary üýtgedýär
>>tuk<< Sickness changes people.	Hassalyk adamlary üýtgedýär
>>tuk<< That isn't what I meant.	Bu meniň göz öňünde tutan zadym däl.
>>tuk<< That makes it difficult.	Bu kynlaşdyrar.
>>tuk<< That would be a tragedy.	Bu betbagtçylyk bolardy.
>>tuk<< The heat was unbearable.	Ysy ýaramazdy.
>>tuk<< The heat was unbearable.	Yssa çydar ýaly däldi.
>>tuk<< The maid served the tea.	Hyzmatkär zenan çaý getirişdirdi.
>>tuk<< The price is reasonable.	Baha kanagatlanarly.
>>tuk<< There's no hope for you.	Siziň üçin hiç hili umyt ýok.
