>>aze<< I'm OK.	Mən yaxşıyam.
>>aze<< I'm going to keep studying French.	Mən fransızca öyrənməyə davam edəcəm.
>>aze<< Iceland used to belong to Denmark.	İslandiya əvvəllər Danimarkaya aid idi.
>>aze<< Italy is a very beautiful country.	İtaliya çox gözəl ölkədir.
>>aze<< Most men here wear ties every day.	Burada kişilərin çoxu hər gün qalstuk taxır.
>>aze<< One of Serbia's allies was Russia.	Serbiyanın müttəfiqlərindən biri Rusiya idi.
>>aze<< Our main problem remains unsolved.	Bizim əsas problemimiz həll edilməmiş qalır.
>>aze<< Phoenix is the capital of Arizona.	Finiks Arizonanın paytaxtıdır.
>>aze<< Sometimes, I don't understand him.	Bəzən mən onu başa düşmürəm.
>>aze<< The old house was burned to ashes.	Köhnə ev yanıb külə döndü.
>>aze<< There are no oranges on the table.	Stolun üstündə portağal yoxdur.
>>aze<< There's enough room for everybody.	Burada hamı üçün kifayət qədər yer var.
>>aze<< They speak English in New Zealand.	Yeni Zelandiyada ingilis dilində danışılır.
>>aze<< Tom and Mary have three daughters.	Tom və Merinin üç qızı var.
>>aze<< Tom didn't do anything to stop it.	Tom onu saxlamaq üçün heç nə etmədi.
>>aze<< Tom didn't tell me where he lived.	Tom mənə harada yaşadığını demədi.
>>aze<< Tom is not interested in politics.	Tom siyasətlə maraqlanmır.
>>aze<< Tom plans to buy a new motorcycle.	Tom yeni motosiklet almağı planlaşdırır.
>>aze<< Tom said no one else was laughing.	Tom dedi ki, başqa heç kəs gülmürdü.
>>aze<< Tom sat down next to his daughter.	Tom qızının yanında oturdu.
>>aze<< Tom will be busy tomorrow morning.	Tom sabah səhər məşğul olacaq.
>>aze<< Tom's parents have a lot of money.	Tomun valideynlərinin çoxlu pulu var.
>>aze<< Yerevan is the capital of Armenia.	İrəvan Ermənistanın paytaxtıdır.
>>aze<< You have to keep your shoes clean.	Gərək ayaqqabılarını təmiz saxlayasan.
>>aze<< You shouldn't tell Tom everything.	Sən hər şeyi Toma deməməlisən.
>>aze<< "Thanks, guys." "Don't mention it."	"Sağolun, uşaqlar." "Dəyməz."
>>aze<< Brussels is the capital of Belgium.	Brüssel Belçikanın paytaxtıdır.
>>aze<< Do you like green tea or black tea?	Yaşıl çay xoşlayırsan yoxsa qara çay?
>>aze<< He plants sunflowers in the spring.	O, yazda günəbaxan əkir.
>>aze<< I didn't think that Tom would come.	Düşünmürdüm ki, Tom gələr.
>>aze<< I don't know why you're so worried.	Mən bilmirəm sən niyə belə narahatsan.
>>aze<< I like vanilla ice cream very much.	Mən vanilli dondurmanı çox sevirəm.
>>aze<< I planted an apple tree in my yard.	Həyətimdə alma ağacı əkdim.
>>aze<< I think you deserve more than this.	Düşünürəm ki, sən bundan artığına layiqsən.
>>aze<< I think you deserve more than this.	Məncə sən bundan da artığına layiqsən.
>>aze<< I wonder where that ship is headed.	Mənə maraqlıdır, o gəmi hara istiqamətlənir.
>>aze<< I'd like to have my blood examined.	Qanımı yoxlatmaq istərdim.
>>aze<< I'm trying not to think about that.	O barədə düşünməməyə çalışıram.
>>aze<< In the summer, eggs go bad quickly.	Yayda yumurtalar tez xarab olur.
>>aze<< Let's meet in front of the library.	Gəl kitabxananın qabağında görüşək.
>>aze<< Not every student has a dictionary.	Hər tələbənin lüğəti yoxdur.
>>aze<< Oregon is just south of Washington.	Oreqon Vaşinqtonun cənubunda yerləşir.
>>aze<< She looked back on her school days.	O məktəb günlərini xatırladı.
>>aze<< Stockholm is the capital of Sweden.	Stokholm İsveçin paytaxtıdır.
>>aze<< The bicycle under the tree is mine.	Ağacın altındakı velosiped mənimdir.
>>aze<< The box was empty when I opened it.	Mən açanda qutu boş idi.
>>aze<< The boy has an apple in his pocket.	Oğlanın cibində alma var.
>>aze<< The capital of Hungary is Budapest.	Macarıstanın paytaxtı Budapeştdir.
>>aze<< The elevator is out of order today.	Lift bugün işləmir.
>>aze<< The pen is mightier than the sword.	Qələm qılıncdan güclüdür.
>>aze<< They wanted the war to end quickly.	Onlar müharibənin tezliklə sona çatmasını istəyirdilər.
>>aze<< Tom is the cutest boy in the class.	Tom sinifdəki ən şirin oğlandır.
>>aze<< Tom plants sunflowers every spring.	Tom hər yaz günəbaxan əkir.
>>aze<< Tom's band was really good tonight.	Tom-un qrupu bu gecə həqiqətən də yaxşı idi.
>>aze<< We had to drive slowly all the way.	Biz bütün yol boyu yavaş sürməliyik.
>>aze<< We're totally different people now.	Biz indi tamamilə fərqli insanlarıq.
>>aze<< What do you want for your birthday?	Ad gününə nə istəyirsən?
>>aze<< You should go to bed early tonight.	Sən bu gün tez yatmalısan.
>>aze<< Don't forget your gloves. It's cold.	Əlcəklərin yadından çıxmasın. Hava soyuqdur.
>>aze<< Don't tell me how to spend my money.	Mənə öz pulumu necə xərcləyəcəyimi öyrətmə!
>>aze<< Everyone in the room recognized Tom.	Otaqdakı hər kəs Tomu tanıdı.
>>aze<< Grandmother sent us a box of apples.	Nənə bizə bir qutu alma göndərdi.
>>aze<< He became an orphan when he was ten.	On yaşında ikən o yetim qaldı.
>>aze<< He's making a table in his workshop.	O, emalatxanasında stol düzəldir.
>>aze<< How much does a bottle of beer cost?	Bir şüşə pivə neçəyədir?
>>aze<< I don't always get my homework done.	Mən ev tapşırığımı həmişə etməyi bacarmıram.
>>aze<< I doubt that Tom is really a doctor.	Mən şübhə edirəm ki, Tom həqiqətən həkimdir.
>>aze<< I still haven't planted any lettuce.	Hələ kahı əkməmişəm.
>>aze<< I think it's time for me to go home.	Evə getmək vaxtım gəlib.
>>aze<< In August 1990, Iraq invaded Kuwait.	1990-cı ilin avqustunda İraq Küveyti işğal etdi.
>>aze<< In Japan, all children go to school.	Yaponiyada bütün uşaqlar məktəbə gedir.
>>aze<< It is a good idea to read this book.	Bu kitabı oxumaq yaxşı fikirdir.
>>aze<< Nobody's forcing you to do anything.	Səni heç kim heç nəyə məcbur etmir.
>>aze<< Please tell me what your problem is?	Xahiş edirəm mənə de, sənin problemin nədir?
>>aze<< Smoking is not allowed in this room.	Bu otaqda siqaret çəkmək olmaz.
>>aze<< The boy tried moving the heavy sofa.	Oğlan ağır divanı tərpətməyə cəhd etdi.
>>aze<< The children are riding their bikes.	Uşaqlar velosipedlərini sürürlər.
>>aze<< The old man fell down on the ground.	Qoca kişi yerə yıxıldı.
>>aze<< The picture reminded me of Scotland.	Şəkil mənə Şotlandiyanı xatırlatdı.
>>aze<< They have two sons and one daughter.	Onların iki oğlu və bir qızı var.
>>aze<< Tom and I are about the same height.	Tom və mən, demək olar ki, eyni boydayıq.
>>aze<< Tom dried himself with a bath towel.	Tom hamam dəsmalı ilə qurulandı.
>>aze<< Tom looked for his name on the list.	Tom adını tapmaq üçün siyahıya baxdı.
>>aze<< We can't sleep because of the noise.	Biz səs-küyə görə yata bilmirik.
>>aze<< Why do you not want to leave Boston?	Sən niyə Bostonu tərk etmək istəmirsən?
>>aze<< Children go back to school in autumn.	Payızda uşaqlar məktəbə qayıdırlar.
>>aze<< Copenhagen is the capital of Denmark.	Kopenhagen Danimarkanın paytaxtıdır.
>>aze<< Could you tell me about your company?	Mənə öz şirkətiniz haqqında danışa bilərsən?
>>aze<< Did you explain the situation to Tom?	Toma vəziyyəti başa saldın?
>>aze<< Did you explain the situation to Tom?	Toma vəziyyəti izah etdiniz?
>>aze<< Don't confuse Austria with Australia.	Avstriyanı Avstraliya ilə səhv salmayın.
>>aze<< Don't you want to ask me what I want?	Məndən nə istədiyimi soruşmaq istəmirsiniz?
>>aze<< English is an international language.	İngilis dili beynəlxalq dildir.
>>aze<< He cracked the walnut with his teeth.	O, qozu dişləriylə sındırdı.
>>aze<< He doesn't take care of his children.	O uşaqlarının qayğısına qalmır.
>>aze<< I had no idea that you were so young.	Bu qədər gənc olduğun haqda heç bir fikrim yox idi.
>>aze<< I planted an apple tree in my garden.	Mən bağımda alma ağacı əkdim.
>>aze<< I spent a couple of months in Boston.	Mən Bostonda bir neçə ay keçirdim.
>>aze<< I want to feed the birds in the park.	Parkdakı quşlara yem vermək istəyirəm.
>>aze<< If I were you, I'd follow his advice.	Sənin yerində olsaydım onun məsləhətinə qulaq asardım.
>>aze<< In 1975, Angola became a free nation.	1975-ci ildə Anqola müstəqil dövlət oldu.
>>aze<< It's not going to be easy to do this.	Bunu etmək asan olmayacaq.
>>aze<< Japan has to reconstruct its economy.	Yaponiya iqtisadiyyatını yenidən qurmalıdır.
>>aze<< Papua New Guinea was a German colony.	Papua Yeni Qvineya alman koloniyası idi.
>>aze<< Repetition is the mother of learning.	Təkrar biliyin anasıdır.
>>aze<< School begins the day after tomorrow.	Məktəb birisi gün başlayır.
>>aze<< She laid her head down on the pillow.	O başını yastığa qoydu.
>>aze<< The United States was at war in 1864.	Amerika 1864-cü ildə müharibədə idi.
>>aze<< The cause of the fire is yet unknown.	Yanğının səbəbi hələ məlum deyil.
>>aze<< The cost of the book is five dollars.	Kitabın dəyəri beş dollardır.
>>aze<< There is a right time for everything.	Hər şeyin öz vaxtı var.
>>aze<< They say that ferns can have flowers.	Deyilənə görə qıjıların çiçəyi olur.
>>aze<< They say that ferns can have flowers.	Deyirlər ki, qıjılar çiçək aça bilir.
>>aze<< They supplied the village with water.	Onlar kəndi su ilə təmin etdilər.
>>aze<< Tom and Mary work in the same office.	Tom və Meri eyni ofisdə işləyirlər.
>>aze<< Tom doesn't know anything about that.	Tom bunun haqqında heç nə bilmir.
>>aze<< Tom has never had a driver's license.	Tomun heç vaxt sürücülük vəsiqəsi olmayıb.
>>aze<< Tom is quite a bit younger than Mary.	Tom Meridən xeyli cavandır.
>>aze<< Tom likes you more than anybody else.	Tom səni hamıdan çox sevir.
>>aze<< Tom looked around the room carefully.	Tom otağı diqqətlə nəzərdən keçirdi.
>>aze<< Tom put the ashtray in front of Mary.	Tom külqabını Merinin qabağına qoydu.
>>aze<< We can't let anybody know we're here.	Biz burada olduğumuzu heç kəsə bildirə bilmərik.
>>aze<< We're all praying for Tom's recovery.	Biz hamımız Tomun yaxşılaşması üçün dua edirik.
>>aze<< We're going to scrutinize everything.	Hər şeyi diqqətlə araşdıracağıq.
>>aze<< You have to be prepared for anything.	Siz hər şeyə hazır olmalısınız.
>>aze<< A week later, Germany attacked Poland.	Bir həftə sonra Almaniya Polşaya hücum etdi.
>>aze<< Both Tom and I were a little confused.	Həm Tom, həm də mən bir az çaşmışdıq.
>>aze<< Hazelnuts are harvested in mid-autumn.	Fındıq payızın ortalarında yığılır.
>>aze<< His work is a source of pride for him.	İşi onun üçün qürur mənbəyidir.
>>aze<< How do we know you're not lying to us?	Hardan bilək ki, bizə yalan danışmırsan?
>>aze<< I don't want to go to Boston with you.	Sizinlə Bostona getmək istəmirəm.
>>aze<< I don't want to go to school tomorrow.	Sabah məktəbə getmək istəmirəm.
>>aze<< I meet with him once every six months.	Mən onunla hər altı aydan bir görüşürəm.
>>aze<< I will take you to my palace tomorrow.	Mən səni sabah öz məkanıma aparacam.
>>aze<< Japan imports oranges from California.	Yaponiya Kaliforniyadan portağal idxal edir.
>>aze<< She advised him not to drink too much.	O mənə çox içməməyi məsləhət gördü.
>>aze<< She came three minutes after I called.	O, mən zəng etdikdən üç dəqiqə sonra gəldi.
>>aze<< She comes to see me from time to time.	O arabir mənə dəyməyə gəlir.
>>aze<< Strange as it may sound, this is true.	Nə qədər qəribə səslənsə də bu doğrudur.
>>aze<< That girl is more cute than beautiful.	O qız gözəl olduğundan daha çox şirindir.
>>aze<< They went to the zoo by bus yesterday.	Onlar dünən avtobusla zooparka getdilər.
>>aze<< This is one of Boston's finest hotels.	Bu Bostonun ən yaxşı otellərindən biridir.
>>aze<< Tom didn't keep Mary waiting too long.	Tom Merini çox gözlətmədi.
>>aze<< Tom has three apple trees in his yard.	Tomun həyətində üç alma ağacı var.
>>aze<< Tom said that he wanted to go with us.	Tom bizimlə gəlmək istədiyini dedi.
>>aze<< Two children were playing on the road.	İki uşaq yolda oynayırdı.
>>aze<< We didn't live in Australia very long.	Biz Avstraliyada uzun müddət yaşamadıq.
>>aze<< We have to paint the bathroom ceiling.	Biz hamam otağının tavanını rəngləməliyik.
>>aze<< Do you see that house? That's my house.	O evi görürsən? O mənim evimdir.
>>aze<< Everyone must protect their own family.	Hər kəs öz ailəsini qorumalıdır.
>>aze<< His brother is more patient than he is.	Qardaşı ondan daha səbirlidir.
>>aze<< I go to school at eight in the morning.	Məktəbə səhər səkkizdə gedirəm.
>>aze<< I never thought I'd ever see you again.	Heç vaxt düşünməzdim ki, səni yenidən görə bilərəm.
>>aze<< I think that I'm doing something wrong.	Mənə elə gəlir ki, nəyisə səhv edirəm.
>>aze<< I woke up with a headache this morning.	Bugün səhər başağrısı ilə oyandım.
>>aze<< Napoleon Bonaparte was born in Corsica.	Napoleon Bonapart Korsikada doğulub.
>>aze<< Solar energy is a new source of energy.	Günəş enerjisi yeni enerji mənbəyidir.
>>aze<< The legend says that she was a mermaid.	Əfsanədə deyildiyinə görə, o, su pərisi idi.
>>aze<< The sailors abandoned the burning ship.	Dənizçilər yanan gəmini tərk etdilər.
>>aze<< This is the house in which he was born.	Bu onun doğulduğu evdir.
>>aze<< This isn't possible without Tom's help.	Tomun köməyi olmadan bu mümkün deyil.
>>aze<< Tom and I agreed to take turns driving.	Tom və mən növbə ilə maşını sürməyə razılaşdıq.
>>aze<< What was the first capital of Portugal?	Portuqaliyanın birinci paytaxtı hara idi?
>>aze<< Who do you usually play badminton with?	Çox vaxt kiminlə badminton oynayırsan?
>>aze<< You don't have to know all the details.	Bütün xırdalıqları bilməyiniz vacib deyil.
>>aze<< China is twenty times bigger than Japan.	Çin Yaponiyadan iyirmi dəfə böyükdür.
>>aze<< Don't lift weights if you're still sore.	Əgər hələ də yaralısansa, ağırlıq qaldırma.
>>aze<< Envious people die, but envy never does.	Paxıl insanlar ölür, amma paxıllıq yox.
>>aze<< Give me your phone number, just in case.	Hər ehtimala qarşı telefon nömrəni mənə ver.
>>aze<< He wants to meet that good-looking girl.	O, o gözəl qızla tanış olmaq istəyir.
>>aze<< I don't usually eat at places like this.	Mən adətən belə yerlərdə yemirəm.
>>aze<< I just wanted to see if you could do it.	Sadəcə bunu edə biləcəyini görmək istədim.
>>aze<< I loved to climb trees when I was a kid.	Uşaq vaxtı ağaca dırmaşmaqdan xoşum gəlirdi.
>>aze<< I want to become a doctor in the future.	Mən gələcəkdə həkim olmaq istəyirəm.
>>aze<< I want to make friends with your sister.	Mən sənin bacınla dost olmaq istəyirəm.
>>aze<< I'd like coffee rather than tea, please.	Çaydansa, kofe istərdim, zəhmət olmasa.
>>aze<< Many children don't like eating spinach.	Uşaqların çoxunun ispanaq yeməkdən xoşu gəlmir.
>>aze<< Millions of wild animals live in Alaska.	Alyaskada milyonlarla vəhşi heyvan yaşayır.
>>aze<< Muslims always pray facing toward Mecca.	Müsəlmanlar həmişə üzü Məkkəyə doğru dua edirlər.
>>aze<< My sister washes her hair every morning.	Mənim bacım hər səhər saçını yuyur.
>>aze<< She whispered to me that she was hungry.	O mənə pıçıldadı ki, acdır.
>>aze<< She's the French ambassador to Portugal.	O Fransanın Portuqaliyadakı səfiridir.
>>aze<< Texas is nearly twice as large as Japan.	Texas Yaponiyadan təqribən iki dəfə böyükdür.
>>aze<< The girl playing the piano is my sister.	Piano çalan qız mənim bacımdır.
>>aze<< The treasure lay hidden for a long time.	Xəzinə uzun zamandır gizli qalıb.
>>aze<< Tom came to Boston hoping to find a job.	Tom iş tapmaq ümidiylə Bostona gəldi.
>>aze<< Tom changed his mind at the last minute.	Tom son anda fikrini dəyişdi.
>>aze<< Tom doesn't let his children drink wine.	Tom uşaqlarına şərab içməyə icazə vermir.
>>aze<< Tom has met a lot of interesting people.	Tom çoxlu maraqlı insanla tanış olub.
>>aze<< Tom's house was repossessed by the bank.	Tom-un evinə yenidən bank əl qoydu.
>>aze<< We need to close the border immediately.	Biz dərhal sərhədi bağlamalıyıq.
>>aze<< You are to stay here until we come back.	Biz gələnə qədər burada qalırsan.
>>aze<< You have no right to tell me what to do.	Sənin mənə nə edəcəyimi deməyə haqqın yoxdur.
>>aze<< You have no right to tell me what to do.	Sizin mənə nə edəcəyimi deməyə haqqınız yoxdur.
>>aze<< You were telling the truth, weren't you?	Siz həqiqəti deyirdiniz, elə deyilmi?
>>aze<< You were telling the truth, weren't you?	Sən həqiqəti deyirdin, elə deyilmi?
>>aze<< Cacti are plants that live in dry places.	Kaktuslar quru yerlərdə bitən bitkilərdir.
>>aze<< Do you use a sponge when you take a bath?	Çiməndə süngərdən istifadə edirsən?
>>aze<< He gave a positive answer to my question.	O mənim sualıma müsbət cavab verdi.
>>aze<< Her husband is currently living in Tokyo.	Onun əri hal-hazırda Tokioda yaşayır.
>>aze<< I asked the teacher which was the better.	Mən müəllimdən hansının daha yaxşı olduğunu soruşdum
>>aze<< I don't have to go to school next Monday.	Mən növbəti bazarertəsi məktəbə getməyə məcbur deyiləm.
>>aze<< I haven't eaten asparagus in a long time.	Xeyli vaxtdır ki, qulançar yemirəm.
>>aze<< I wonder if Tom is still able to do that.	Tom-un hələ də onu etməyə qadir olub-olmadığı mənə maraqlıdır.
>>aze<< I'm not in a position to give you advice.	Sənə məsləhət verəcək halda deyiləm.
>>aze<< Our teacher separated us into two groups.	Müəllimimiz bizi iki qrupa ayırdı.
>>aze<< She takes part in many school activities.	O çoxlu məktəb fəaliyyətlərində iştirak edir.
>>aze<< Sorry, I didn't know you were still here.	Bağışlayın, hələ burda olduğunuzu bilmirdim.
>>aze<< That way I kill two birds with one stone.	Beləliklə mən bir güllə ilə iki dovşan vururam.
>>aze<< The explorers finally reached their goal.	Kəşfiyyatçılar nəhayət ki öz məqsədlərinə çatdılar.
>>aze<< The goldfinch is a very interesting bird.	Payızbülbülü çox maraqlı quşdur.
>>aze<< There are many apple trees in the garden.	Bağda çoxlu alma ağacı var.
>>aze<< There's a lot to see and do in Australia.	Avstraliyada görülməli və edilməli çox şey var.
>>aze<< This stone is twice as heavy as that one.	Bu daş o birisindən ikiqat ağırdır.
>>aze<< Tom admitted that he had stolen the bike.	Tom velosipedi oğurladığını boynuna aldı.
>>aze<< Tom and Mary had a good time on vacation.	Tom və Meri məzuniyyətdə yaxşı vaxt keçirdilər.
>>aze<< Tom and Mary played tennis all afternoon.	Tom və Mary bütün bu günortadan sonra tennis oynadılar.
>>aze<< Tom doesn't even have a driver's license.	Tomun hətta sürücülük vəsiqəsi belə yoxdur.
>>aze<< Tom isn't accustomed to working at night.	Tom gecə işləməyə öyrəşməyib.
>>aze<< Tom knew he no longer needed to be there.	Tom bilirdi ki, artıq burada ona ehtiyac olmayacaq.
>>aze<< Tom looked after my dog while I was away.	Tom mən olmayanda itimin qayğısına qaldı.
>>aze<< When was the last time Tom talked to you?	Tom axırıncı dəfə səninlə nə vaxt danışıb?
>>aze<< Cats were sacred animals in ancient Egypt.	Qədim Misirdə pişiklər müqəddəs heyvanlar idilər.
>>aze<< Do you know what Tom was doing last night?	Tomun ötən gecə nə etdiyini bilirsən?
>>aze<< I don't think I'll need an umbrella today.	Düşünmürəm ki, bu gün çətirə ehtiyacım olacaq.
>>aze<< I had to walk because there were no taxis.	Mən yerimək məcburiyyətində idim, çünki orada taksi yox idi.
>>aze<< I have three friends who can speak French.	Mənim fransızca danışa bilən üç dostum var.
>>aze<< I'm fairly certain Tom doesn't believe us.	Tomun bizə inanmadığından çox əminəm.
>>aze<< Many Canadians visit Australia every year.	Bir çox kanadalılar hər il Avstraliyanı səyahət edir.
>>aze<< The car stopped in the middle of the road.	Maşın yolun ortasında dayandı.
>>aze<< There're more than 100 people in the room.	Otaqda yüzdən çox adam var.
>>aze<< They know the situation better than we do.	Onlar vəziyyəti bizdən yaxşı bilirlər.
>>aze<< Tom didn't have the permission to do that.	Tom-un bunu etməyə icazəsi yox idi.
>>aze<< Tom doesn't want to take advice from Mary.	Tom Meridən məsləhət almaq istəmir.
>>aze<< Tom planted three apple trees in his yard.	Tom həyətində üç alma ağacı əkdi.
>>aze<< We didn't live in Australia for very long.	Biz Avstraliyada uzun müddət yaşamadıq.
>>aze<< Which do you like, green tea or black tea?	Hansını xoşlayırsan, yaşıl çay yoxsa qara çay?
>>aze<< Without air and water, nothing could live.	Hava və su olmadan heç nə yaşaya bilməz.
>>aze<< You don't even know what you mean, do you?	Sən özün belə nəyi nəzərdə tutduğunu bilmirsən, elə deyil?
>>aze<< Cockroaches hide themselves during the day.	Tarakanlar gündüzlər gizlənirlər.
>>aze<< Did you write anything in your diary today?	Bugün gündəliyinə nəisə yazdın?
>>aze<< Do you know the man standing on the bridge?	Körpüdə dayanan adamı tanıyırsan?
>>aze<< Have you ever been to the Korean Peninsula?	Heç Koreya yarımadasında olmusan?
>>aze<< How would you like it if I did that to you?	Onu sənə etsəydim, xoşuna gələrdi?
>>aze<< If he'd known the truth, he'd have told me.	Əgər o həqiqəti bilsəydi, mənə deyərdi.
>>aze<< Norway is the richest country in the world.	Norveç dünyada ən varlı ölkədir.
>>aze<< She is strong enough to carry the suitcase.	O, çemodanı daşıya biləcək qədər güclüdür.
>>aze<< Tom graduated from college three years ago.	Tom kolleci üç il əvvəl bitirib.
>>aze<< Tom told me he couldn't do that by himself.	Tom mənə dedi ki, o, bunu özbaşına edə bilməzdi.
>>aze<< We used the computer in order to save time.	Vaxt qazanmaq üçün komputerdən istifadə etdik.
>>aze<< When I was your age, I was already married.	Mən sənin yaşında olanda artıq evli idim.
>>aze<< When you cross the bridge, don't look down.	Körpünü keçəndə aşağı baxma.
>>aze<< A crane raises heavy construction materials.	Kran ağır tikinti materiallarını qaldırır.
>>aze<< Fish is an important food source for people.	Balıq insanlar üçün mühüm qida mənbəyidir.
>>aze<< He speaks not only Spanish, but also French.	O, təkcə ispanca yox, fransızca da danışır.
>>aze<< How do I know that you're telling the truth?	Mən necə bilim ki, sən həqiqəti deyirsən?
>>aze<< I don't think that Tom wants to leave today.	Düşünmürəm ki, Tom bu gün tərk etmək istəyir.
>>aze<< It seemed impossible that Tom would succeed.	Tomun uğurlu ola biləcəyi mümkünsüz görsənirdi.
>>aze<< Lithuania is a member of the European Union.	Litva Avropa Birliyinin üzvüdür.
>>aze<< Portugal is not as close to France as Spain.	Portuqaliya Fransaya İspaniya qədər yaxıın deyil.
>>aze<< Prague is the capital of the Czech Republic.	Praqa Çexiyanın paytaxtıdır.
>>aze<< That's already happened to me several times.	Bu artıq bir neçə dəfə mənim başıma gəlib.
>>aze<< Those children are waiting for their mother.	O uşaqlar analarını gözləyirlər.
>>aze<< Tom didn't want to go, but Mary made him go.	Tom getmək istəmirdi amma Meri onu getməyə vadar etdi.
>>aze<< Tom eats asparagus, but his brother doesn't.	Tom qulançar yeyir, amma qardaşı yox.
>>aze<< Tom has been in the hospital for three days.	Tom üç gündür ki xəstəxanadadır.
>>aze<< Tom's situation is getting more complicated.	Tomun vəziyyəti get-gedə daha da çətinləşir.
>>aze<< We learned about that from reliable sources.	Biz o haqda etibarlı mənbələrdən öyrəndik.
>>aze<< What is your greatest source of inspiration?	Ən böyük ilham mənbəyiniz nədir?
>>aze<< You should be able to read this book easily.	Sən bu kitabı rahatlıqla oxumağı bacarmalısan.
>>aze<< A group of children were playing in the park.	Bir dəstə uşaq parkda oynayırdı.
>>aze<< Don't forget to open the window in your room.	Otağındakı pəncərəni açmaq yadından çxmasın.
>>aze<< I am looking for a book about medieval Spain.	Mən orta əsr İspaniyası haqqında kitab axtarıram.
>>aze<< Naples is the largest city in southern Italy.	Neapol cənubi İtaliyada ən böyük şəhərdir.
>>aze<< Some minerals are important for human health.	Bəzi minerallar insan sağlamlığı üçün vacibdirlər.
>>aze<< They lifted him carefully into the ambulance.	Onlar onu ehtiyatla təcili yardım maşınına qaldırdılar.
>>aze<< This is the medicine I was telling you about.	Bu, sənə haqqında danışdığım dərmandır.
>>aze<< This place looks just the same as it used to.	Bu yer əvvəllər olduğu kimi görünür.
>>aze<< This school supplies students with textbooks.	Bu məktəb şagirdləri dərsliklərlə təmin edir.
>>aze<< Tom grows tomatoes and lettuce in his garden.	Tom bağında pomidor və kahı yetişdirir.
>>aze<< Tom never spoke to Mary again after that day.	Tom o gündən sonra daha Meri ilə danışmadı.
>>aze<< Tom said Mary looked like she was having fun.	Tom Mary'nin yaxşı vaxt keçirirmiş kimi görsəndiyini dedi.
>>aze<< Vermont is located on the border with Canada.	Vermont Kanadayla sərhəddə yerləşir.
>>aze<< You can stay here for a while if you want to.	Əgər istəyisinizsə bir müddət burada qala bilərsiniz.
>>aze<< Bull fighting is a very interesting spectacle.	Öküz döyüşü çox maraqlı bir səhnədir.
>>aze<< Computers are better than us at playing chess.	Kompyuterlər şahmat oynamaqda bizdən daha yaxşıdır
>>aze<< Don't believe everything you hear on the news.	Xəbərlərdə eşitdiyin hər şeyə inanma.
>>aze<< Everyone except Tom and Mary are already here.	Tom və Meridən başqa hamı artıq buradadır.
>>aze<< Frankly speaking, I don't want to go with you.	Düzünü desəm, mən səninlə getmək istəmirəm.
>>aze<< Greece was the cradle of western civilization.	Yunanıstan qərb sivilizasiyasının beşiyi idi.
>>aze<< He's a British citizen, but he lives in India.	O Britaniya vətəndaşıdır amma Hindistanda yaşayır.
>>aze<< I don't think that Tom will refuse to do that.	Mən düşünmürəm ki, Tom onu etməkdən imtina edəcək.
>>aze<< I thought it would be better to remain silent.	Mən susmağın daha yaxşı olacağını düşündüm
>>aze<< I thought it would be better to remain silent.	Mən elə düşündüm ki sussam daha yaxşı olar.
>>aze<< I thought it would be better to remain silent.	Mən bir şey deməməyin daha yaxşı olduğunu düşündüm
>>aze<< I thought it would be better to remain silent.	Mən fikirləşdim ki yaxşısı elə heç nə deməməkdir.
>>aze<< It's going to rain. Look at those dark clouds.	Yağış yağacaq. Qara buludlara bax.
>>aze<< My father is my biggest source of inspiration.	Atam mənim ən böyük ilham mənbəyimdir.
>>aze<< She is busy at present and can't speak to you.	O hal-hazırda məşğuldur və sizinlə danışa bilmir.
>>aze<< Sorry, I didn't know that you were still here.	Bağışlayın, hələ burda olduğunuzu bilmirdim.
>>aze<< That can't be Mary. She's in the hospital now.	O Meri ola bilməz. O indi xəstəxanadadır.
>>aze<< Tom and Mary aren't planning to sing together.	Tom və Mary birlikdə mahnı oxumağı planlamırdılar.
>>aze<< Tom laughed so much tears ran down his cheeks.	Tom o qədər güldü ki, gözlərindən yanaqlarına göz yaşları axdı.
>>aze<< Tom picked up his ukulele and started to sing.	Tom ukulelesini götürdü və oxumağa başladı.
>>aze<< Tom says that he has never eaten an artichoke.	Tom deyir ki, heç vaxt ənginar yeməyib.
>>aze<< Tom told me he wanted to go mountain climbing.	Tom mənə dedi ki, o dağ dırmanışına getmək istəyir.
>>aze<< Tom tried opening the door, but it was locked.	Tom qapını açmağa cəhd etdi, amma o bağlı idi.
>>aze<< Tom will never be given the chance to do that.	Toma heç vaxt bunu etməyə şans verilməyəcək.
>>aze<< Which is the platform for the train to Boston?	Bostona gedən qatar üçün olan platforma hansıdır?
>>aze<< You'll be scolded when your mother comes home.	Anan evə gələndə danlanacaqsan.
>>aze<< After the revolution, France became a republic.	İnqilabdan sonra Fransa respublika oldu.
>>aze<< He was living in London when the war broke out.	Müharibə başlayanda o, Londonda yaşayırdı.
>>aze<< I don't have enough money to buy a new bicycle.	Yeni bir velosiped almaq ücün kifayət qədər pulum yoxdur.
>>aze<< I think that it would be better if you hurried.	Məncə tələssən yaxşı olardı.
>>aze<< I'm not a teacher and don't want to become one.	Mən müəllim deyiləm və heç olmaq da istəmirəm.
>>aze<< Is there anything to drink in the refrigerator?	Soyuducuda içməyə bir şey var?
>>aze<< Maybe that wasn't the best thing to say to Tom.	Bəlkə o, Toma deyiləcək ən yaxşı şey deyildi.
