>>ilo<< I try.	Padasek.
>>ilo<< We've decided to move the meeting to next Sunday.	Inkeddengmi a yalud-od ti miting iti sumaruno a Domingo.
>>ilo<< Does everyone think it was me who stole the money?	Atapen kadi ti amin a siak ti nangtakaw iti kuarta?
>>ilo<< He spoke slowly enough for everyone to understand.	Inin-inayadna ti nagsao tapno maawatan ti amin a dumdumngeg.
>>ilo<< I'm anxious to know the results of the blood test.	Madandanaganak a makaammo iti resulta ti blood test.
>>ilo<< It is true that she is pretty, but she is selfish.	Agpayso a napintas isuna, ngem bagbagina la ti napateg kenkuana.
>>ilo<< They were accused of supplying arms to terrorists.	Napabasolda a nagisuplay iti armas kadagiti terorista.
>>ilo<< We need more than ten cases of beer for our party.	Masapulayo ti nasursurok ngem sangapulo a kahon ti serbesa para iti paskentayo.
>>ilo<< Your plan is a good one, but mine is a better one.	Nasayaat ti planom, ngem nasaysayaat ti planok.
>>ilo<< Are you sure there isn't any easier way to do this?	Siguradoka kadi nga awan ti nalaklaka a wagas a panangaramid iti daytoy?
>>ilo<< Did Tom ever tell you what he wanted for Christmas?	Imbaga met la kadi kenka ni Tom no ania ti kayatna a Pamaskua?
>>ilo<< He became the company president when he was thirty.	Nagbalin isuna a presidente ti kompania idi tallopulona.
>>ilo<< I don't understand why she doesn't love me anymore.	Diak maawatan no apay a saannakon nga ay-ayaten pay.
>>ilo<< I really need to go outside and get some fresh air.	Kasapulan la unay a rummuarak ket lumang-abak iti sadiwa nga angin.
>>ilo<< It may rain tomorrow, but we are going in any case.	Adda labitna nga agtudo no bigat, ngem mapankami latta.
>>ilo<< With a little more effort, he would have succeeded.	Bassit laengen a panangigannuat, nagballigi koman.
>>ilo<< Does it bother you that I'm much older than you are?	Pakasikoram kadi no adayo a natataengak ngem iti sika?
>>ilo<< He is a gentleman. He cannot have said such a thing.	Natakneng isuna a lalaki. Saanna la ketdi a maibaga ti kasta a banag.
>>ilo<< He retired from the company after 30 years' service.	Nagretiro isuna iti kompania kalpasan ti tallopulo a tawen a serbisiona.
>>ilo<< I'm not saying this to hurt you, but it's the truth.	Haanko nga ibagbaga daytos tapno pasaktanka, ngem daytoy ti pudno.
>>ilo<< To be successful, you have to establish a good plan.	Tapno agballigika, masapul a makaigannuatka iti napintas a plano.
>>ilo<< Have any of you ever seen something like this before?	Adda kadi kadakayo ti nakakita idin iti kasla kastoy?
>>ilo<< He did not decide to be a writer until he was thirty.	Sana la inkeddeng ti agbalin a mannurat idi tallopulona.
>>ilo<< They tortured the prisoner first and then killed him.	Pinarparigatda nga umuna ti balud sada pinapatay daytoy.
>>ilo<< Why would somebody want to live in a place like this?	Apay a kayat ti maysa a tao ti agnaed iti kastoy a lugar?
>>ilo<< As soon as Tom walked out the door, Mary began to cry.	Apaman a nakaruar ni Tom iti ruangan, nagsangiten ni Maria.
>>ilo<< I can't conceive how I could have made such a mistake.	Diak a masinunuo no kasano a naaramidak ti kasdiay a biddut.
>>ilo<< I'm afraid I cannot make myself understood in English.	Madanaganak ta amangan no dida maawatan ti panaginglesko.
>>ilo<< Please let us know if we can be of help in other ways.	Ipakaammoyo laeng kadakami no adda maitulongmi iti sabsabali pay a wagas.
>>ilo<< With a little more patience, you would have succeeded.	Bassit la koman nga anus, nagballigika koman.
>>ilo<< A foreign language cannot be learned in only two weeks.	Saan a masursuro iti dua a lawas laeng ti maysa a ganggannaet a pagsasao.
>>ilo<< All horses are animals, but not all animals are horses.	Amin a kabalio ket ayup, ngem saan nga amin nga ayup ket kabalio.
>>ilo<< I estimate that we'll need two days to finish the work.	Karkuluek a kasapulantayo ti dua nga aldaw a mangileppas iti trabaho.
>>ilo<< I know you're busy, but can I talk to you for a minute?	Ammok a makumikomka, ngem mabalin kadi a makisaritaak kenka iti apagbiit?
>>ilo<< I'm surprised you decided not to accept that job offer.	Masdaawak nga inkeddengmo a dimo awaten dayta a naidiaya a trabaho.
>>ilo<< Once upon a time, there was an old man in this village.	Idi un-unana a panawen, adda maysa a lakay iti daytoy nga away.
>>ilo<< How many kinds of vegetables do you grow in your garden?	Mano a klase ti natnateng ti imulmulam iti hardinmo?
>>ilo<< I really need to catch the first train tomorrow morning.	Kasapulan unay a makamakamko ti umuna a tren iti agsapa no bigat.
>>ilo<< Tom gave Mary the money she needed to pay off her debts.	Inted ni Tom ken ni Mary ti masapulna a kuarta a pagbayadna kadagiti utangna.
>>ilo<< Tom seems to take it for granted that he'll get the job.	Kasla iyaleng-aleng laeng ni Tom a maawat iti daydiay a trabaho.
>>ilo<< I think we'll all feel better once we get a little sleep.	Panagkunak ket mabang-arantayo no makaturogtayo iti uray sangkabassit laeng.
>>ilo<< She became scared when she noticed the man following her.	Nagbuteng isuna idi madlawna nga adda tao a mangsursurot kenkuana.
>>ilo<< Tom didn't understand exactly what Mary wanted him to do.	Saan a naawatan a nalaing ni Tom no ania ti kayat nga ipaaramid ni Mary kenkuana.
>>ilo<< Don't you ever feel like you don't know what you're doing?	Dimo kadi pay, aya, narikna a kasla dimo ammo ti ar-aramidem?
>>ilo<< The terrorists must be hunted down and brought to justice.	Masapul a maanup ken makemmeg dagiti terorista tapno maisaklangda iti hustisia.
>>ilo<< Do we have enough time to finish this before Tom gets here?	Adda kadi pay umanay a panawen a malpastayo daytoy sakbay a makasangpet ni Tom ditoy?
>>ilo<< I thought you'd be interested to know that Tom found a job.	Ti ammok ket interesadoka a makaammo a nakabiroken ni Tom iti trabahona.
>>ilo<< I want to travel this summer, but I don't know where to go.	Kayatko ti agdaliasat iti daytoy a kalgaw, ngem diak ammo no sadino ti papanan.
>>ilo<< In spite of the fact that she was busy, she came to see me.	Iti laksid a makumikom isuna, immaynak kinita.
>>ilo<< Please open your bag so that I can see what you have in it.	Pakilukat ti bagmo tapno makitak no ania ti impanmo iti unegna.
>>ilo<< The latest issue of the magazine will come out next Monday.	Rummuar inton Lunes ti kaudian nga isyu ti magasin.
>>ilo<< They have demanded that all copies of the book be destroyed.	Inkalikagumda nga amin a kopia ti libro ket madadael.
>>ilo<< Tom listened to Mary recite the poem that she had memorized.	Inimdengan ni Tom ni Mary a nangyebkas iti daniw nga inkabesana.
>>ilo<< The box was so heavy that Tom had to help Mary carry it home.	Nadagsen unay ti kahon isu a tinulongan ni Tom ni Mary a mangawit a mangyawid iti daytoy.
>>ilo<< Burj Khalifa is currently the tallest skyscraper in the world.	Ti Burj Khalifa ti katayagan a pasdek iti sangalubongan iti agdama.
>>ilo<< Don't you know how dangerous it is to go swimming by yourself?	Dimo kadi ammo a napeggad ti mapan aglangoy a siksika?
>>ilo<< I have a cat and a dog. The cat is black and the dog is white.	Adda pusa ken asok. Nangisit ti pusa ken puraw ti aso.
>>ilo<< He still remembers the day his mother found out he was smoking.	Malagipna pay ti aldaw a pannakaduktal kenkuana ti inana nga agsigsigarilio isuna.
>>ilo<< Why does it take them so long to set up my internet connection?	Apay a nakabaybayag la ketdin nga ibanagda ti koneksionko iti internet?
>>ilo<< Tom is estimating how much money he'll need to finish the house.	Karkarkuluen ni Tom no mano ti magastosna a mangileppas iti balay.
>>ilo<< On my way to school each day, I generally see many dogs and cats.	Iti dalanko a sumrek iti eskuela, gagangay nga adu ti makitkitak nga as-aso ken puspusa.
>>ilo<< Tom doesn't know the difference between a diamond and an emerald.	Saan nga ammo ni Tom ti nagdumaan ti maysa a diamante ken ti maysa nga esmeralda.
>>ilo<< They come to collect the mail at three in the afternoon every day.	Umayda kolektaen dagiti surat iti alas tres iti malem iti inaldaw.
>>ilo<< Don't you just hate the way Tom always monopolizes the conversation?	Dimo kadi, aya, kagura ti aramid ni Tom a mangbukbukod iti patangan?
>>ilo<< If you don't know what the word means, look it up in the dictionary.	No dimo ammo ti kayat a sawen ti balikas, kitaem daytoy iti diksionario.
>>ilo<< If anyone calls me up while I'm away, tell them I'll be back by five.	No adda umawag kaniak iti telepono kabayatan nga awanak, ibagam kadakuada nga agsubliak iti alas singko.
>>ilo<< If we have not covered all the questions you asked, please inform us.	No dimi nasungbatan amin a saludsodyo, ibagayo koma kadakami.
>>ilo<< Since their conversation was in French, I couldn't understand a word.	Gapu ta French ti panagsasaritada, awan a pulos ti maawatak a balikas.
>>ilo<< If it had not been for your advice, I would have failed in my business.	No saan koma a gapu iti pammagbagam, saan koma a nagballigi ti negosiok.
>>ilo<< Maybe I shouldn't tell you this, but I am truly mesmerized by your beauty.	Nalabit ket saanen a nasken nga ibagak pay kenka daytoy, ngem agpayso a nagargariak iti pintasmo.
>>ilo<< As soon as the new teacher entered the classroom, the students began to applaud.	Apaman a nakastrek iti siled a pagadalan ti kabarbaro a mannursuro, nangrugi nga agdir-i dagiti estudiante.
>>ilo<< If Cleopatra's nose had been shorter, the whole face of the world would have been changed.	No koma ta nalepleppap ti agong ni Cleopatra, mabalin a nagbaliw koma ti sibubukel a rupa ti lubong.
>>ilo<< Monday, Tuesday, Wednesday, Thursday, Friday, Saturday and Sunday are the seven days of the week.	Lunes, Martes, Mierkoles, Huebes, Biernes, Sabado ken Domingo dagiti pito nga al-aldaw ti lawas.
